Data export from TecQuipment CE2000

Data series 1

    Time    Squar        P        I 
     0.00    2.040    4.165   10.235
     0.07    2.040    4.170   10.235
     0.13    2.040    4.170   10.235
     0.20    2.040    4.165   10.235
     0.26    2.040    4.165   10.235
     0.33    2.040    4.165   10.235
     0.40    2.035    4.165   10.235
     0.46    2.035    4.170   10.235
     0.53    2.035    4.165   10.235
     0.59    2.035    4.170   10.235
     0.66    2.035    4.165   10.235
     0.73    2.035    4.165   10.235
     0.79    2.040    4.170   10.235
     0.86    2.035    4.170   10.235
     0.92    2.040    4.170   10.235
     0.99    2.040    4.170   10.235
     1.06    2.040    4.170   10.235
     1.12    2.040    4.170   10.235
     1.19    2.040    4.170   10.235
     1.25    2.040    4.170   10.235
     1.32    2.040    4.170   10.235
     1.39    2.040    4.170   10.235
     1.45    2.040    4.170   10.235
     1.52    2.040    4.170   10.235
     1.58    2.035    4.175   10.235
     1.65    2.040    4.170   10.235
     1.72    2.040    4.170   10.235
     1.78    2.040    4.170   10.235
     1.85    2.040    4.175   10.235
     1.91    2.035    4.170   10.235
     1.98    2.040    4.170   10.235
     2.05    2.040    4.170   10.235
     2.11    2.040    4.165   10.235
     2.18    2.040    4.170   10.235
     2.24    2.040    4.170   10.235
     2.31    2.035    4.170   10.235
     2.38    2.035    4.170   10.235
     2.44    2.035    4.165   10.235
     2.51    2.035    4.165   10.235
     2.57    2.040    4.170   10.235
     2.64    2.040    4.175   10.235
     2.71    3.985    8.220   10.235
     2.77    4.030    8.305   10.235
     2.84    4.030    8.305   10.235
     2.90    4.035    8.305   10.235
     2.97    4.030    8.305   10.235
     3.04    4.030    8.305   10.235
     3.10    4.035    8.305   10.235
     3.17    4.035    8.305   10.235
     3.23    4.035    8.310   10.235
     3.30    4.035    8.310   10.235
     3.37    4.035    8.310   10.235
     3.43    4.035    8.310   10.235
     3.50    4.035    8.305   10.235
     3.56    4.035    8.310   10.235
     3.63    4.035    8.310   10.235
     3.70    4.035    8.310   10.235
     3.76    4.030    8.310   10.235
     3.83    4.035    8.310   10.235
     3.89    4.035    8.310   10.235
     3.96    4.035    8.310   10.235
     4.03    4.035    8.310   10.235
     4.09    4.035    8.310   10.235
     4.16    4.035    8.310   10.235
     4.22    4.035    8.310   10.235
     4.29    4.035    8.310   10.235
     4.36    4.030    8.310   10.235
     4.42    4.035    8.305   10.235
     4.49    4.035    8.305   10.235
     4.55    4.030    8.305   10.235
     4.62    4.030    8.305   10.235
     4.69    4.030    8.305   10.235
     4.75    4.035    8.305   10.235
     4.82    4.035    8.305   10.235
     4.88    4.035    8.305   10.235
     4.95    4.030    8.305   10.235
     5.02    4.030    8.305   10.235
     5.08    4.030    8.305   10.235
     5.15    4.030    8.305   10.235
     5.21    4.030    8.305   10.235
     5.28    4.030    8.305   10.235
     5.35    4.030    8.305   10.235
     5.41    4.035    8.305   10.235
     5.48    4.030    8.310   10.235
     5.54    4.035    8.310   10.235
     5.61    4.035    8.310   10.235
     5.68    4.035    8.310   10.235
     5.74    4.035    8.310   10.235
     5.81    4.035    8.310   10.235
     5.87    4.035    8.305   10.235
     5.94    4.035    8.305   10.235
     6.01    4.035    8.310   10.235
