Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    4.075    3.240    3.955    0.910
     0.07    4.075    3.235    3.960    0.910
     0.13    4.075    3.235    3.950    0.910
     0.20    4.075    3.240    3.945    0.910
     0.26    4.075    3.240    3.955    0.910
     0.33    4.070    3.240    3.955    0.910
     0.40    4.075    3.240    3.945    0.910
     0.46    4.075    3.240    3.945    0.910
     0.53    4.070    3.240    3.950    0.910
     0.59    4.070    3.240    3.945    0.910
     0.66    4.075    3.240    3.940    0.905
     0.73    4.075    3.240    3.945    0.910
     0.79    4.070    3.240    3.945    0.910
     0.86    4.075    3.240    3.940    0.905
     0.92    4.075    3.240    3.945    0.910
     0.99    4.075    3.240    3.955    0.910
     1.06    4.080    3.235    3.955    0.910
     1.12    4.075    3.240    3.955    0.915
     1.19    4.075    3.235    3.965    0.915
     1.25    4.075    3.235    3.970    0.915
     1.32    4.075    3.240    3.965    0.915
     1.39    4.075    3.240    3.965    0.910
     1.45    4.075    3.235    3.970    0.915
     1.52    4.075    3.235    3.970    0.915
     1.58    4.075    3.235    3.965    0.915
     1.65    4.075    3.240    3.960    0.915
     1.72    4.075    3.240    3.960    0.910
     1.78    4.075    3.235    3.960    0.910
     1.85    4.075    3.240    3.955    0.910
     1.91    4.075    3.240    3.960    0.910
     1.98    4.075    3.240    3.955    0.915
     2.05    4.080    3.240    3.955    0.910
     2.11    4.075    3.240    3.955    0.910
     2.18    4.075    3.240    3.945    0.910
     2.24    4.075    3.240    3.940    0.905
     2.31    4.075    3.240    3.940    0.910
     2.38    4.075    3.240    3.945    0.910
     2.44    4.075    3.240    3.945    0.910
     2.51    4.075    3.240    3.940    0.910
     2.57    4.075    3.235    3.950    0.910
     2.64    4.075    3.240    3.955    0.910
     2.71    4.070    3.240    3.950    0.910
     2.77    4.075    3.240    3.950    0.910
     2.84    4.075    3.235    3.960    0.910
     2.90    4.075    3.240    3.950    0.910
     2.97    4.070    3.235    3.950    0.910
     3.04    4.075    3.240    3.950    0.910
     3.10    4.075    3.240    3.955    0.910
     3.17    4.075    3.245    3.950    0.910
     3.23    4.075    3.240    3.950    0.910
     3.30    4.075    3.240    3.960    0.915
     3.37    4.075    3.240    3.945    0.910
     3.43    4.075    3.240    3.945    0.910
     3.50    4.075    3.240    3.950    0.910
     3.56    2.615    3.175   -2.500   -0.505
     3.63    2.125    2.745   -2.775   -0.565
     3.70    2.125    2.330   -0.875   -0.150
     3.76    2.125    2.065    0.335    0.115
     3.83    2.125    1.900    1.105    0.280
     3.89    2.120    1.800    1.555    0.385
     3.96    2.125    1.735    1.865    0.450
     4.03    2.120    1.695    2.040    0.490
     4.09    2.120    1.670    2.150    0.515
     4.16    2.120    1.650    2.240    0.535
     4.22    2.125    1.645    2.275    0.540
     4.29    2.125    1.640    2.300    0.545
     4.36    2.125    1.630    2.335    0.550
     4.42    2.120    1.630    2.320    0.550
     4.49    2.120    1.625    2.335    0.555
     4.55    2.120    1.620    2.355    0.560
     4.62    2.120    1.625    2.340    0.555
     4.69    2.120    1.625    2.350    0.555
     4.75    2.120    1.620    2.355    0.560
     4.82    2.120    1.625    2.335    0.555
     4.88    2.125    1.625    2.350    0.555
     4.95    2.120    1.625    2.350    0.560
     5.02    2.120    1.625    2.335    0.555
     5.08    2.120    1.620    2.350    0.555
     5.15    2.120    1.630    2.340    0.555
     5.21    2.120    1.630    2.335    0.555
     5.28    2.125    1.620    2.350    0.560
     5.35    2.120    1.625    2.340    0.555
     5.41    2.120    1.630    2.335    0.555
     5.48    2.120    1.625    2.350    0.560
     5.54    2.125    1.625    2.345    0.555
     5.61    2.125    1.625    2.340    0.555
     5.68    2.120    1.625    2.360    0.560
     5.74    2.125    1.630    2.335    0.555
     5.81    2.120    1.630    2.340    0.560
     5.87    2.125    1.625    2.350    0.555
     5.94    2.125    1.630    2.330    0.555
     6.01    2.125    1.625    2.340    0.560
     6.07    2.125    1.630    2.345    0.555
     6.14    2.125    1.635    2.330    0.555
     6.20    2.125    1.630    2.340    0.555
     6.27    2.125    1.630    2.335    0.555
     6.34    2.120    1.635    2.325    0.550
     6.40    2.120    1.630    2.335    0.555
     6.47    2.125    1.635    2.320    0.550
     6.53    2.125    1.635    2.320    0.550
     6.60    2.125    1.630    2.340    0.555
     6.67    2.120    1.630    2.320    0.550
     6.73    2.120    1.635    2.315    0.550
     6.80    2.120    1.630    2.335    0.550
     6.86    2.120    1.630    2.315    0.550
     6.93    2.120    1.630    2.330    0.555
     7.00    2.120    1.625    2.340    0.555
     7.06    2.120    1.630    2.320    0.555
     7.13    2.125    1.625    2.335    0.555
     7.19    2.125    1.625    2.340    0.555
     7.26    2.120    1.630    2.325    0.550
     7.33    2.120    1.625    2.335    0.555
     7.39    2.120    1.625    2.335    0.555
     7.46    2.125    1.630    2.325    0.550
     7.52    2.120    1.630    2.345    0.560
     7.59    2.120    1.625    2.340    0.555
     7.66    2.120    1.630    2.325    0.555
     7.72    2.120    1.625    2.340    0.555
     7.79    2.120    1.630    2.340    0.555
     7.85    2.125    1.630    2.335    0.555
     7.92    2.120    1.625    2.350    0.560
     7.99    2.120    1.630    2.325    0.555
     8.05    2.120    1.630    2.325    0.550
     8.12    2.120    1.630    2.340    0.555
     8.18    2.125    1.635    2.320    0.550
     8.25    2.125    1.630    2.325    0.555
     8.32    2.125    1.630    2.330    0.555
     8.38    2.125    1.635    2.325    0.555
     8.45    2.125    1.630    2.335    0.555
     8.51    2.125    1.630    2.335    0.550
     8.58    2.120    1.630    2.310    0.550
     8.65    2.120    1.630    2.325    0.555
     8.71    2.120    1.635    2.325    0.555
     8.78    2.120    1.630    2.325    0.555
     8.84    2.125    1.625    2.340    0.555
     8.91    2.120    1.630    2.325    0.550
     8.98    2.120    1.630    2.320    0.550
     9.04    2.120    1.630    2.330    0.555
     9.11    2.125    1.630    2.315    0.550
     9.17    2.120    1.630    2.325    0.550
     9.24    2.120    1.625    2.330    0.555
     9.31    2.120    1.630    2.320    0.550
     9.37    2.120    1.625    2.335    0.555
     9.44    2.120    1.625    2.335    0.555
     9.50    2.125    1.630    2.325    0.555
     9.57    2.120    1.625    2.345    0.555
     9.64    2.120    1.630    2.340    0.555
     9.70    2.120    1.625    2.330    0.555
     9.77    2.120    1.625    2.350    0.560
     9.83    2.125    1.625    2.340    0.555
     9.90    2.120    1.625    2.340    0.555
     9.97    2.120    1.625    2.355    0.560
    10.03    2.125    1.625    2.335    0.555
    10.10    2.125    1.625    2.350    0.560
    10.16    2.125    1.625    2.365    0.560
    10.23    2.120    1.630    2.345    0.555
    10.30    2.125    1.625    2.350    0.560
    10.36    2.125    1.625    2.350    0.560
    10.43    2.125    1.630    2.335    0.560
    10.49    2.125    1.625    2.350    0.555
    10.56    2.125    1.625    2.340    0.555
    10.63    2.120    1.630    2.335    0.555
    10.69    2.125    1.630    2.345    0.555
    10.76    2.125    1.625    2.340    0.555
    10.82    2.125    1.630    2.330    0.555
    10.89    2.125    1.625    2.345    0.560
    10.96    2.125    1.630    2.335    0.555
    11.02    2.125    1.630    2.330    0.555
    11.09    2.120    1.625    2.345    0.555
    11.15    2.125    1.630    2.330    0.550
    11.22    2.120    1.630    2.330    0.555
    11.29    2.120    1.625    2.340    0.555
    11.35    2.120    1.630    2.325    0.550
    11.42    2.120    1.630    2.330    0.555
    11.48    2.120    1.625    2.340    0.555
    11.55    2.120    1.630    2.325    0.555
    11.62    2.120    1.620    2.340    0.555
    11.68    2.125    1.630    2.330    0.555
    11.75    2.120    1.630    2.325    0.555
    11.81    2.120    1.630    2.335    0.555
    11.88    2.120    1.630    2.325    0.550
    11.95    2.120    1.630    2.320    0.550
    12.01    2.120    1.630    2.335    0.550
    12.08    2.120    1.630    2.320    0.550
    12.14    2.120    1.630    2.315    0.550
    12.21    2.125    1.625    2.335    0.555
    12.28    2.120    1.630    2.315    0.545
    12.34    2.125    1.630    2.325    0.550
    12.41    2.120    1.630    2.340    0.555
    12.47    2.125    1.630    2.320    0.550
    12.54    2.125    1.630    2.330    0.550
    12.61    2.125    1.630    2.335    0.555
    12.67    2.120    1.635    2.320    0.550
    12.74    2.125    1.630    2.335    0.555
    12.80    2.120    1.630    2.335    0.555
    12.87    2.125    1.635    2.315    0.550
    12.94    2.120    1.630    2.335    0.555
    13.00    2.125    1.630    2.335    0.555
    13.07    2.125    1.630    2.320    0.555
    13.13    2.125    1.630    2.340    0.555
    13.20    2.120    1.630    2.330    0.555
    13.27    2.120    1.635    2.320    0.550
    13.33    2.125    1.625    2.340    0.555
    13.40    2.120    1.635    2.330    0.555
    13.46    3.855    1.710    9.445    2.235
    13.53    4.070    2.070    9.310    2.090
    13.60    4.070    2.455    7.540    1.700
    13.66    4.070    2.745    6.200    1.405
    13.73    4.070    2.935    5.330    1.215
    13.79    4.075    3.055    4.795    1.095
    13.86    4.075    3.125    4.475    1.025
    13.93    4.075    3.170    4.270    0.985
    13.99    4.075    3.195    4.145    0.950
    14.06    4.075    3.215    4.065    0.935
    14.12    4.075    3.220    4.025    0.925
    14.19    4.075    3.230    3.990    0.920
    14.26    4.075    3.235    3.975    0.915
    14.32    4.075    3.235    3.965    0.915
    14.39    4.075    3.235    3.960    0.915
    14.45    4.075    3.240    3.960    0.910
    14.52    4.075    3.240    3.960    0.910
    14.59    4.075    3.235    3.970    0.915
    14.65    4.075    3.235    3.970    0.915
    14.72    4.075    3.235    3.970    0.915
    14.78    4.075    3.240    3.970    0.915
    14.85    4.075    3.235    3.970    0.915
    14.92    4.075    3.240    3.965    0.910
    14.98    4.075    3.240    3.960    0.910
    15.05    4.075    3.240    3.965    0.910
    15.11    4.075    3.240    3.960    0.910
    15.18    4.075    3.240    3.950    0.910
    15.25    4.075    3.235    3.955    0.910
    15.31    4.075    3.240    3.955    0.905
    15.38    4.075    3.240    3.955    0.910
    15.44    4.075    3.240    3.950    0.910
    15.51    4.075    3.240    3.950    0.915
    15.58    4.075    3.240    3.945    0.910
    15.64    4.075    3.240    3.940    0.910
    15.71    4.080    3.240    3.940    0.910
    15.77    4.075    3.240    3.945    0.910
    15.84    4.075    3.245    3.930    0.905
    15.91    4.075    3.240    3.940    0.910
    15.97    4.075    3.240    3.950    0.905
    16.04    4.075    3.240    3.950    0.910
    16.10    4.070    3.240    3.950    0.910
    16.17    4.075    3.235    3.955    0.910
    16.24    4.075    3.240    3.950    0.910
    16.30    4.075    3.240    3.950    0.910
    16.37    4.070    3.240    3.950    0.910
    16.43    4.075    3.235    3.950    0.910
    16.50    4.075    3.240    3.945    0.910
    16.57    4.075    3.240    3.945    0.910
    16.63    4.075    3.240    3.945    0.910
    16.70    4.075    3.240    3.940    0.905
    16.76    4.075    3.240    3.940    0.905
    16.83    4.070    3.240    3.940    0.910
    16.90    4.075    3.240    3.950    0.910
    16.96    4.075    3.245    3.950    0.910
    17.03    4.075    3.240    3.950    0.905
    17.09    4.075    3.240    3.955    0.910
    17.16    4.075    3.240    3.960    0.915
    17.23    4.080    3.240    3.955    0.910
    17.29    4.075    3.240    3.960    0.910
    17.36    4.075    3.240    3.965    0.915
    17.42    4.075    3.240    3.965    0.915
    17.49    4.075    3.240    3.960    0.915
    17.56    4.075    3.235    3.965    0.910
    17.62    4.075    3.240    3.970    0.915
    17.69    4.075    3.240    3.960    0.910
    17.75    4.075    3.240    3.960    0.915
    17.82    4.075    3.240    3.960    0.910
    17.89    4.075    3.240    3.955    0.910
    17.95    4.075    3.240    3.955    0.910
    18.02    4.075    3.240    3.955    0.910
    18.08    4.070    3.235    3.955    0.910
    18.15    4.075    3.240    3.945    0.905
    18.22    4.075    3.240    3.945    0.910
    18.28    4.070    3.240    3.950    0.910
    18.35    4.075    3.240    3.945    0.910
    18.41    4.070    3.240    3.940    0.905
    18.48    4.075    3.240    3.940    0.910
    18.55    4.075    3.240    3.945    0.910
    18.61    4.075    3.240    3.940    0.905
    18.68    4.075    3.240    3.945    0.910
    18.74    4.075    3.240    3.955    0.910
    18.81    4.070    3.240    3.955    0.910
    18.88    4.075    3.235    3.955    0.910
    18.94    4.075    3.235    3.955    0.910
    19.01    4.070    3.235    3.960    0.915
    19.07    4.075    3.240    3.950    0.910
    19.14    4.070    3.240    3.955    0.910
    19.21    4.080    3.240    3.955    0.910
    19.27    4.075    3.240    3.950    0.910
    19.34    4.080    3.245    3.940    0.910
    19.40    4.075    3.240    3.945    0.910
    19.47    4.075    3.240    3.940    0.905
    19.54    4.075    3.245    3.945    0.905
    19.60    4.080    3.240    3.940    0.910
    19.67    4.075    3.240    3.945    0.910
    19.73    4.075    3.240    3.945    0.910
    19.80    4.075    3.240    3.940    0.910
    19.87    4.075    3.245    3.950    0.910
    19.93    4.075    3.240    3.960    0.910
    20.00    4.080    3.240    3.950    0.910
    20.06    4.075    3.240    3.955    0.910
    20.13    4.075    3.240    3.960    0.910
    20.20    4.075    3.240    3.965    0.915
    20.26    4.080    3.240    3.965    0.910
    20.33    4.075    3.240    3.960    0.910
    20.39    4.075    3.235    3.960    0.915
    20.46    4.075    3.235    3.960    0.910
    20.53    4.075    3.240    3.955    0.910
    20.59    4.075    3.240    3.960    0.915
    20.66    4.075    3.240    3.955    0.910
    20.72    4.075    3.240    3.955    0.910
    20.79    4.075    3.240    3.955    0.910
    20.86    4.070    3.240    3.955    0.910
    20.92    4.075    3.235    3.955    0.910
    20.99    4.075    3.240    3.950    0.905
    21.05    4.075    3.240    3.955    0.910
    21.12    4.075    3.240    3.945    0.910
    21.19    4.075    3.240    3.940    0.905
    21.25    4.075    3.240    3.945    0.910
    21.32    4.075    3.240    3.945    0.910
    21.38    4.075    3.240    3.945    0.910
    21.45    4.075    3.240    3.950    0.910
    21.52    4.080    3.240    3.955    0.910
    21.58    4.075    3.240    3.955    0.910
    21.65    4.075    3.240    3.950    0.910
    21.71    4.075    3.240    3.955    0.910
    21.78    4.075    3.235    3.955    0.910
    21.85    4.075    3.240    3.950    0.910
    21.91    4.080    3.245    3.945    0.910
    21.98    4.075    3.240    3.950    0.910
    22.04    4.075    3.240    3.945    0.910
    22.11    4.075    3.240    3.945    0.910
    22.18    4.075    3.240    3.945    0.910
    22.24    4.075    3.245    3.940    0.905
    22.31    4.075    3.245    3.940    0.905
    22.37    4.080    3.245    3.945    0.905
    22.44    4.075    3.240    3.945    0.910
    22.51    4.075    3.240    3.950    0.910
    22.57    4.075    3.240    3.945    0.905
    22.64    4.075    3.240    3.945    0.905
    22.70    4.075    3.240    3.955    0.905
    22.77    4.070    3.240    3.945    0.910
    22.84    4.075    3.240    3.950    0.910
    22.90    4.070    3.235    3.955    0.910
    22.97    4.075    3.235    3.960    0.910
    23.03    4.075    3.240    3.960    0.915
    23.10    4.075    3.235    3.960    0.910
    23.17    4.075    3.235    3.965    0.910
    23.23    4.070    3.235    3.955    0.910
    23.30    3.995    3.235    3.585    0.835
    23.36    2.135    3.080   -4.285   -0.895
    23.43    2.120    2.605   -2.140   -0.430
    23.50    2.125    2.240   -0.450   -0.055
    23.56    2.120    2.005    0.610    0.175
    23.63    2.125    1.860    1.270    0.320
    23.69    2.120    1.775    1.660    0.405
    23.76    2.125    1.715    1.935    0.465
    23.83    2.120    1.685    2.080    0.500
    23.89    2.125    1.665    2.175    0.515
    23.96    2.125    1.650    2.250    0.535
    24.02    2.125    1.640    2.270    0.540
    24.09    2.125    1.635    2.300    0.545
    24.16    2.120    1.635    2.325    0.550
    24.22    2.120    1.635    2.310    0.550
    24.29    2.120    1.630    2.320    0.550
    24.35    2.125    1.630    2.330    0.555
    24.42    2.125    1.635    2.315    0.550
    24.49    2.125    1.630    2.330    0.555
    24.55    2.120    1.630    2.330    0.555
    24.62    2.125    1.635    2.315    0.550
    24.68    2.120    1.630    2.335    0.555
    24.75    2.120    1.630    2.330    0.555
    24.82    2.125    1.635    2.320    0.550
    24.88    2.120    1.630    2.340    0.555
    24.95    2.120    1.635    2.320    0.550
    25.01    2.120    1.630    2.325    0.555
    25.08    2.120    1.625    2.340    0.555
    25.15    2.120    1.630    2.325    0.550
    25.21    2.120    1.630    2.325    0.555
    25.28    2.120    1.625    2.345    0.555
    25.34    2.120    1.630    2.325    0.555
