Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    2.130    9.305   10.005    2.140
     0.07    2.130    9.305   10.000    2.140
     0.13    2.130    9.305   10.005    2.140
     0.20    2.130    9.300   10.015    2.140
     0.26    2.130    9.295   10.010    2.140
     0.33    2.135    9.295   10.010    2.140
     0.40    2.135    9.290   10.010    2.140
     0.46    2.135    9.295   10.010    2.140
     0.53    2.130    9.295   10.010    2.140
     0.59    2.130    9.295   10.015    2.140
     0.66    2.130    9.300   10.010    2.140
     0.73    2.130    9.300   10.010    2.140
     0.79    2.130    9.300   10.005    2.140
     0.86    2.135    9.300   10.000    2.140
     0.92    2.130    9.300   10.000    2.140
     0.99    2.130    9.300   10.000    2.140
     1.06    2.130    9.300   10.005    2.135
     1.12    2.130    9.295   10.000    2.140
     1.19    2.130    9.295   10.000    2.140
     1.25    2.130    9.295   10.005    2.140
     1.32    2.130    9.290   10.005    2.140
     1.39    2.130    9.290   10.000    2.135
     1.45    2.135    9.290   10.005    2.140
     1.52    2.130    9.290   10.000    2.135
     1.58    2.130    9.290   10.000    2.140
     1.65    2.135    9.290   10.005    2.140
     1.72    2.130    9.290   10.005    2.140
     1.78    2.130    9.290   10.005    2.140
     1.85    2.130    9.290   10.005    2.140
     1.91    2.130    9.290   10.010    2.145
     1.98    2.135    9.290   10.015    2.140
     2.05    2.130    9.290   10.010    2.140
     2.11    2.135    9.285   10.010    2.140
     2.18    2.135    9.285   10.015    2.140
     2.24    2.130    9.285   10.015    2.140
     2.31    2.135    9.285   10.010    2.140
     2.38    2.130    9.285   10.010    2.140
     2.44    2.135    9.290   10.010    2.140
     2.51    2.130    9.290   10.010    2.140
     2.57    2.135    9.285   10.010    2.145
     2.64    2.135    9.295   10.010    2.140
     2.71    2.135    9.290   10.015    2.140
     2.77    2.135    9.295   10.010    2.140
     2.84    2.130    9.295   10.010    2.140
     2.90    2.130    9.290   10.005    2.140
     2.97    2.130    9.290   10.015    2.140
     3.04    2.130    9.290   10.015    2.140
     3.10    2.130    9.285   10.000    2.140
     3.17    2.130    9.285   10.005    2.140
     3.23    2.130    9.280   10.000    2.135
     3.30    2.130    9.280   10.005    2.140
     3.37    2.130    9.285   10.000    2.140
     3.43    2.130    9.285   10.000    2.140
     3.50    2.130    9.285   10.005    2.140
     3.56    2.130    9.285   10.000    2.140
     3.63    2.130    9.285   10.000    2.145
     3.70    2.130    9.290   10.000    2.140
     3.76    2.130    9.290   10.005    2.140
     3.83    2.130    9.290   10.000    2.140
     3.89    2.130    9.290   10.000    2.140
     3.96    2.135    9.285   10.005    2.140
     4.03    2.130    9.290   10.005    2.140
     4.09    2.675    9.285   10.080    2.690
     4.16    4.080    9.290   10.235    4.100
     4.22    4.085    9.295   10.235    4.100
     4.29    4.080    9.300   10.235    4.100
     4.36    4.085    9.300   10.235    4.100
     4.42    4.085    9.310   10.235    4.100
     4.49    4.085    9.315   10.235    4.100
     4.55    4.085    9.325   10.235    4.100
     4.62    4.080    9.325   10.235    4.100
     4.69    4.080    9.335   10.235    4.100
     4.75    4.085    9.335   10.235    4.105
     4.82    4.080    9.340   10.235    4.100
     4.88    4.085    9.345   10.235    4.100
     4.95    4.080    9.345   10.235    4.105
     5.02    4.080    9.345   10.235    4.100
     5.08    4.085    9.345   10.235    4.100
     5.15    4.080    9.345   10.235    4.100
     5.21    4.080    9.345   10.235    4.100
     5.28    4.085    9.350   10.235    4.100
     5.35    4.080    9.355   10.235    4.100
     5.41    4.080    9.355   10.235    4.100
     5.48    4.080    9.360   10.235    4.100
     5.54    4.080    9.365   10.235    4.100
     5.61    4.085    9.365   10.235    4.100
     5.68    4.080    9.370   10.235    4.100
     5.74    4.080    9.370   10.235    4.100
     5.81    4.080    9.370   10.235    4.095
     5.87    4.080    9.370   10.235    4.100
     5.94    4.080    9.370   10.235    4.100
     6.01    4.080    9.370   10.235    4.100
     6.07    4.080    9.370   10.235    4.100
     6.14    4.080    9.370   10.235    4.100
     6.20    4.080    9.370   10.235    4.100
     6.27    4.085    9.375   10.235    4.100
