Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    V_mot    error 
     0.00    4.075    3.410    3.575    0.740
     0.07    4.075    3.410    3.575    0.735
     0.13    2.125    1.760    1.930    0.420
     0.20    2.120    1.765    1.930    0.420
     0.26    2.125    1.760    1.950    0.420
     0.33    2.120    1.760    1.935    0.420
     0.40    2.120    1.760    1.945    0.420
     0.46    2.120    1.760    1.935    0.420
     0.53    2.120    1.765    1.935    0.420
     0.59    2.125    1.760    1.940    0.415
     0.66    2.120    1.765    1.925    0.415
     0.73    2.120    1.765    1.935    0.420
     0.79    2.125    1.760    1.945    0.420
     0.86    2.125    1.765    1.930    0.415
     0.92    2.125    1.765    1.940    0.420
     0.99    2.120    1.765    1.930    0.420
     1.06    2.125    1.765    1.930    0.415
     1.12    2.120    1.765    1.945    0.415
     1.19    2.125    1.765    1.930    0.420
     1.25    2.125    1.765    1.940    0.420
     1.32    2.125    1.765    1.940    0.420
     1.39    2.125    1.765    1.930    0.420
     1.45    2.125    1.760    1.950    0.420
     1.52    2.125    1.765    1.940    0.420
     1.58    2.120    1.760    1.940    0.420
     1.65    2.120    1.765    1.950    0.420
     1.72    2.125    1.765    1.940    0.420
     1.78    2.120    1.760    1.945    0.420
     1.85    2.120    1.760    1.940    0.415
     1.91    2.125    1.765    1.935    0.420
     1.98    2.120    1.765    1.930    0.420
     2.05    2.120    1.765    1.920    0.415
     2.11    2.120    1.765    1.935    0.420
     2.18    2.120    1.765    1.930    0.420
     2.24    2.120    1.760    1.925    0.415
     2.31    2.125    1.760    1.935    0.420
     2.38    2.120    1.765    1.920    0.415
     2.44    2.120    1.765    1.930    0.415
     2.51    2.120    1.760    1.935    0.420
     2.57    2.125    1.765    1.920    0.420
     2.64    2.120    1.760    1.935    0.420
     2.71    2.125    1.765    1.930    0.420
     2.77    2.120    1.760    1.930    0.420
     2.84    2.125    1.765    1.945    0.420
     2.90    2.120    1.760    1.935    0.415
     2.97    2.120    1.760    1.940    0.420
     3.04    2.120    1.760    1.945    0.420
     3.10    2.125    1.765    1.935    0.420
     3.17    2.125    1.760    1.950    0.420
     3.23    2.125    1.765    1.930    0.420
     3.30    2.125    1.765    1.940    0.420
     3.37    2.125    1.765    1.940    0.420
     3.43    2.125    1.765    1.920    0.420
     3.50    2.120    1.765    1.935    0.420
     3.56    2.125    1.765    1.930    0.415
     3.63    2.125    1.765    1.925    0.415
     3.70    2.125    1.765    1.935    0.420
     3.76    2.125    1.765    1.925    0.420
     3.83    2.125    1.765    1.935    0.415
     3.89    2.125    1.765    1.935    0.420
     3.96    2.125    1.765    1.920    0.415
     4.03    2.125    1.765    1.935    0.420
     4.09    2.125    1.765    1.925    0.415
     4.16    2.120    1.765    1.930    0.420
     4.22    2.125    1.760    1.930    0.415
     4.29    2.120    1.765    1.920    0.415
     4.36    2.120    1.760    1.935    0.420
     4.42    2.125    1.760    1.930    0.420
     4.49    2.120    1.765    1.930    0.420
     4.55    2.120    1.760    1.935    0.420
     4.62    2.120    1.765    1.925    0.415
     4.69    2.120    1.765    1.935    0.420
     4.75    2.120    1.760    1.930    0.420
     4.82    2.120    1.765    1.920    0.415
     4.88    2.120    1.765    1.935    0.420
     4.95    2.125    1.765    1.925    0.415
     5.02    2.125    1.765    1.930    0.415
