Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    2.125    1.055    1.760    1.135
     0.07    2.125    1.055    1.760    1.135
     0.13    4.075    2.220    3.010    1.930
     0.20    4.075    2.225    3.005    1.925
     0.26    4.080    2.230    3.000    1.920
     0.33    4.075    2.235    2.990    1.915
     0.40    4.075    2.235    2.990    1.920
     0.46    4.075    2.235    2.985    1.915
     0.53    4.080    2.240    2.985    1.915
     0.59    4.075    2.240    2.980    1.910
     0.66    4.075    2.240    2.980    1.910
     0.73    4.075    2.245    2.975    1.910
     0.79    4.075    2.240    2.980    1.910
     0.86    4.075    2.245    2.975    1.905
     0.92    4.080    2.245    2.980    1.910
     0.99    4.080    2.245    2.970    1.905
     1.06    4.075    2.245    2.975    1.910
     1.12    4.075    2.245    2.965    1.905
     1.19    4.080    2.250    2.970    1.905
     1.25    4.075    2.250    2.965    1.900
     1.32    4.075    2.250    2.965    1.900
     1.39    4.075    2.255    2.960    1.900
     1.45    4.075    2.250    2.960    1.900
     1.52    4.075    2.250    2.960    1.900
     1.58    4.075    2.250    2.965    1.900
     1.65    4.075    2.255    2.960    1.900
     1.72    4.075    2.250    2.960    1.900
     1.78    4.075    2.255    2.960    1.895
     1.85    4.075    2.250    2.965    1.900
     1.91    4.075    2.255    2.960    1.895
     1.98    4.075    2.255    2.960    1.900
     2.05    4.075    2.255    2.955    1.895
     2.11    4.075    2.255    2.955    1.895
     2.18    4.075    2.255    2.950    1.895
     2.24    4.075    2.255    2.955    1.895
     2.31    4.080    2.260    2.950    1.890
     2.38    4.075    2.255    2.955    1.890
     2.44    4.075    2.260    2.950    1.895
     2.51    4.075    2.255    2.955    1.895
     2.57    4.075    2.260    2.950    1.895
     2.64    4.075    2.255    2.960    1.900
     2.71    4.075    2.260    2.950    1.895
     2.77    4.080    2.260    2.960    1.895
     2.84    4.075    2.255    2.955    1.895
     2.90    4.075    2.255    2.955    1.895
     2.97    4.075    2.260    2.955    1.890
     3.04    4.080    2.255    2.955    1.895
     3.10    4.080    2.260    2.950    1.895
     3.17    4.080    2.260    2.955    1.895
     3.23    4.075    2.260    2.950    1.890
     3.30    4.075    2.255    2.955    1.895
     3.37    4.075    2.260    2.950    1.890
     3.43    4.075    2.255    2.950    1.890
     3.50    4.075    2.260    2.950    1.890
     3.56    4.075    2.260    2.955    1.895
     3.63    4.075    2.265    2.945    1.890
     3.70    4.075    2.260    2.950    1.890
     3.76    4.070    2.260    2.945    1.890
     3.83    4.075    2.260    2.950    1.890
     3.89    4.075    2.260    2.950    1.895
     3.96    4.075    2.260    2.950    1.890
     4.03    4.075    2.260    2.950    1.895
     4.09    4.075    2.260    2.955    1.895
