Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    2.130    2.180    2.875    0.015
     0.07    2.130    2.175    2.885    0.020
     0.13    2.130    2.135    2.865    0.055
     0.20    2.125    2.135    2.835    0.050
     0.26    2.130    2.135    2.855    0.055
     0.33    2.130    2.140    2.835    0.050
     0.40    2.130    2.135    2.840    0.055
     0.46    2.125    2.135    2.840    0.055
     0.53    2.125    2.135    2.835    0.055
     0.59    2.125    2.135    2.855    0.055
     0.66    2.130    2.135    2.845    0.055
     0.73    2.130    2.135    2.860    0.060
     0.79    2.130    2.135    2.835    0.055
     0.86    2.130    2.130    2.860    0.060
     0.92    2.125    2.135    2.835    0.055
     0.99    2.130    2.135    2.865    0.055
     1.06    2.125    2.135    2.840    0.055
     1.12    2.130    2.135    2.860    0.055
     1.19    2.130    2.135    2.850    0.060
     1.25    2.130    2.130    2.850    0.060
     1.32    2.125    2.135    2.855    0.060
     1.39    2.130    2.130    2.860    0.055
     1.45    2.130    2.130    2.855    0.060
     1.52    2.130    2.135    2.840    0.060
     1.58    2.130    2.135    2.855    0.060
     1.65    2.125    2.135    2.830    0.060
     1.72    2.130    2.135    2.850    0.060
     1.78    2.130    2.135    2.840    0.060
     1.85    2.125    2.130    2.855    0.060
     1.91    2.125    2.135    2.825    0.060
     1.98    2.130    2.130    2.840    0.060
     2.05    2.130    2.135    2.835    0.060
     2.11    2.130    2.125    2.865    0.060
     2.18    2.125    2.130    2.845    0.060
     2.24    2.130    2.130    2.860    0.060
     2.31    2.125    2.130    2.850    0.060
     2.38    2.125    2.130    2.855    0.060
     2.44    2.125    2.130    2.860    0.060
     2.51    2.130    2.130    2.860    0.060
     2.57    2.130    2.125    2.875    0.065
     2.64    2.125    2.130    2.865    0.060
     2.71    2.125    2.130    2.885    0.065
     2.77    2.130    2.130    2.855    0.060
     2.84    2.125    2.125    2.890    0.065
     2.90    2.130    2.130    2.860    0.060
     2.97    2.125    2.130    2.895    0.065
     3.04    2.130    2.135    2.860    0.060
     3.10    2.130    2.130    2.895    0.060
     3.17    2.130    2.130    2.870    0.060
     3.23    2.130    2.130    2.880    0.065
     3.30    2.130    2.135    2.870    0.065
     3.37    2.130    2.130    2.875    0.060
     3.43    2.130    2.130    2.875    0.060
     3.50    2.130    2.135    2.860    0.060
     3.56    2.130    2.130    2.870    0.060
     3.63    2.130    2.135    2.850    0.060
     3.70    2.130    2.130    2.865    0.060
     3.76    2.130    2.130    2.840    0.060
     3.83    2.130    2.130    2.875    0.065
     3.89    2.130    2.135    2.840    0.060
     3.96    2.130    2.135    2.870    0.060
     4.03    2.130    2.135    2.845    0.060
     4.09    2.130    2.130    2.855    0.060
     4.16    2.125    2.130    2.835    0.060
     4.22    2.130    2.135    2.850    0.060
     4.29    2.125    2.130    2.850    0.065
     4.36    2.130    2.130    2.845    0.060
     4.42    2.125    2.130    2.845    0.055
     4.49    2.125    2.135    2.825    0.060
     4.55    2.125    2.130    2.850    0.065
     4.62    2.130    2.135    2.820    0.060
     4.69    2.125    2.130    2.840    0.060
     4.75    2.130    2.135    2.815    0.060
     4.82    2.125    2.130    2.845    0.060
     4.88    2.465    2.135    4.265    0.400
     4.95    4.075    2.275   10.235    1.895
     5.02    4.075    2.630   10.235    1.540
     5.08    4.075    2.985   10.235    1.185
     5.15    4.075    3.320   10.235    0.850
     5.21    4.080    3.640    9.545    0.530
     5.28    4.080    3.915    6.970    0.245
     5.35    4.080    4.070    5.465    0.090
     5.41    4.075    4.120    4.985    0.040
     5.48    4.080    4.130    4.855    0.030
     5.54    4.080    4.130    4.825    0.030
     5.61    4.075    4.125    4.825    0.030
     5.68    4.080    4.125    4.820    0.030
     5.74    4.080    4.125    4.835    0.035
     5.81    4.080    4.125    4.835    0.035
     5.87    4.080    4.125    4.835    0.035
     5.94    4.080    4.120    4.840    0.035
     6.01    4.080    4.120    4.850    0.040
     6.07    4.080    4.115    4.850    0.040
     6.14    4.075    4.115    4.850    0.045
     6.20    4.080    4.115    4.855    0.040
     6.27    4.080    4.115    4.855    0.045
     6.34    4.080    4.110    4.855    0.045
     6.40    4.080    4.110    4.840    0.045
     6.47    4.080    4.110    4.845    0.045
     6.53    4.075    4.110    4.835    0.045
     6.60    4.080    4.110    4.830    0.045
     6.67    4.080    4.110    4.825    0.045
     6.73    4.080    4.110    4.830    0.045
     6.80    4.075    4.110    4.825    0.045
     6.86    4.080    4.110    4.820    0.045
     6.93    4.075    4.110    4.815    0.050
     7.00    4.080    4.110    4.810    0.050
     7.06    4.080    4.105    4.805    0.045
     7.13    4.075    4.105    4.805    0.050
     7.19    4.075    4.105    4.810    0.050
     7.26    4.080    4.105    4.810    0.050
     7.33    4.080    4.105    4.815    0.050
     7.39    4.080    4.105    4.815    0.050
     7.46    4.075    4.105    4.820    0.050
     7.52    4.080    4.100    4.820    0.055
     7.59    4.080    4.105    4.810    0.050
     7.66    4.080    4.105    4.810    0.055
     7.72    4.080    4.105    4.795    0.055
     7.79    4.080    4.100    4.815    0.055
     7.85    4.080    4.105    4.805    0.055
     7.92    4.075    4.105    4.815    0.055
     7.99    4.080    4.100    4.820    0.060
     8.05    4.080    4.100    4.820    0.055
     8.12    4.080    4.100    4.820    0.055
     8.18    4.080    4.100    4.825    0.060
     8.25    4.080    4.100    4.835    0.055
     8.32    4.080    4.095    4.840    0.060
     8.38    4.080    4.100    4.835    0.060
     8.45    4.080    4.095    4.840    0.060
     8.51    4.080    4.100    4.845    0.060
     8.58    4.080    4.095    4.845    0.060
     8.65    4.080    4.095    4.825    0.055
     8.71    4.080    4.095    4.820    0.060
     8.78    4.075    4.095    4.815    0.060
     8.84    4.080    4.095    4.820    0.060
     8.91    4.080    4.095    4.815    0.060
     8.98    4.080    4.095    4.810    0.065
     9.04    4.075    4.095    4.815    0.060
     9.11    4.075    4.100    4.805    0.060
     9.17    4.080    4.100    4.800    0.060
     9.24    4.080    4.095    4.795    0.060
     9.31    4.080    4.095    4.795    0.060
     9.37    4.080    4.095    4.800    0.060
     9.44    4.075    4.095    4.800    0.060
     9.50    4.080    4.095    4.805    0.065
     9.57    4.080    4.095    4.805    0.060
     9.64    4.080    4.095    4.805    0.060
     9.70    4.080    4.095    4.805    0.065
     9.77    4.080    4.095    4.815    0.060
     9.83    4.080    4.095    4.805    0.060
     9.90    4.080    4.095    4.800    0.060
     9.97    4.080    4.100    4.805    0.060
    10.03    4.080    4.095    4.800    0.060
    10.10    4.080    4.095    4.810    0.060
    10.16    4.080    4.095    4.810    0.065
    10.23    4.080    4.095    4.810    0.065
    10.30    4.080    4.095    4.815    0.060
    10.36    4.080    4.095    4.815    0.065
    10.43    4.080    4.095    4.825    0.060
    10.49    4.080    4.090    4.830    0.065
    10.56    4.080    4.095    4.830    0.065
    10.63    4.080    4.090    4.835    0.065
    10.69    4.085    4.090    4.835    0.065
    10.76    4.080    4.090    4.830    0.065
    10.82    4.080    4.090    4.825    0.065
    10.89    4.080    4.090    4.820    0.065
    10.96    4.080    4.095    4.795    0.065
    11.02    4.080    4.090    4.805    0.065
    11.09    4.075    4.095    4.815    0.065
    11.15    4.075    4.095    4.810    0.065
    11.22    4.075    4.090    4.810    0.065
    11.29    4.075    4.095    4.805    0.060
    11.35    4.080    4.095    4.795    0.065
    11.42    4.080    4.090    4.795    0.060
    11.48    4.080    4.095    4.790    0.065
    11.55    4.075    4.095    4.790    0.065
    11.62    4.075    4.095    4.795    0.060
    11.68    4.075    4.095    4.795    0.065
    11.75    4.075    4.095    4.800    0.060
    11.81    4.080    4.090    4.800    0.065
    11.88    4.075    4.095    4.800    0.060
    11.95    4.080    4.090    4.800    0.065
    12.01    4.080    4.090    4.805    0.065
    12.08    4.080    4.090    4.800    0.065
    12.14    4.080    4.095    4.805    0.065
    12.21    4.080    4.095    4.795    0.065
    12.28    4.080    4.095    4.810    0.065
    12.34    4.080    4.095    4.805    0.065
    12.41    4.080    4.090    4.805    0.065
    12.47    4.080    4.095    4.810    0.060
    12.54    4.080    4.090    4.820    0.065
    12.61    4.080    4.090    4.820    0.065
    12.67    4.080    4.090    4.825    0.070
    12.74    4.080    4.090    4.825    0.065
    12.80    4.080    4.090    4.830    0.070
    12.87    4.075    4.090    4.830    0.070
    12.94    4.080    4.090    4.825    0.070
    13.00    4.080    4.090    4.825    0.065
    13.07    4.080    4.095    4.815    0.065
    13.13    4.080    4.090    4.805    0.065
    13.20    4.080    4.095    4.795    0.065
    13.27    4.075    4.090    4.795    0.065
    13.33    4.080    4.090    4.800    0.065
    13.40    4.075    4.095    4.805    0.065
    13.46    4.080    4.095    4.795    0.065
    13.53    4.080    4.095    4.790    0.060
    13.60    4.075    4.095    4.780    0.065
    13.66    4.075    4.095    4.785    0.060
    13.73    4.080    4.095    4.785    0.065
    13.79    4.075    4.090    4.785    0.065
    13.86    4.080    4.090    4.785    0.065
    13.93    4.075    4.090    4.785    0.060
