Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    4.080    2.350    2.525    1.800
     0.07    4.075    2.350    2.520    1.800
     0.13    4.075    2.360    2.505    1.790
     0.20    4.075    2.360    2.510    1.790
     0.26    4.075    2.360    2.505    1.790
     0.33    4.075    2.365    2.505    1.790
     0.40    4.080    2.360    2.505    1.790
     0.46    4.075    2.360    2.500    1.790
     0.53    4.080    2.360    2.510    1.790
     0.59    4.075    2.365    2.505    1.790
     0.66    4.075    2.360    2.510    1.790
     0.73    4.075    2.365    2.505    1.790
     0.79    4.075    2.360    2.510    1.795
     0.86    4.080    2.360    2.505    1.795
     0.92    4.075    2.360    2.510    1.795
     0.99    4.080    2.360    2.505    1.790
     1.06    4.080    2.360    2.510    1.795
     1.12    4.075    2.360    2.510    1.790
     1.19    4.075    2.360    2.510    1.790
     1.25    4.075    2.360    2.505    1.790
     1.32    4.075    2.360    2.510    1.790
     1.39    4.075    2.365    2.505    1.790
     1.45    4.075    2.360    2.510    1.790
     1.52    4.070    2.365    2.505    1.790
     1.58    4.075    2.365    2.505    1.790
     1.65    4.075    2.360    2.505    1.790
     1.72    4.075    2.360    2.500    1.785
     1.78    4.075    2.365    2.505    1.790
     1.85    4.080    2.360    2.505    1.785
     1.91    4.075    2.360    2.505    1.785
     1.98    4.075    2.360    2.505    1.790
     2.05    4.075    2.360    2.505    1.790
     2.11    4.075    2.360    2.505    1.790
     2.18    4.075    2.360    2.505    1.790
     2.24    4.075    2.360    2.500    1.790
     2.31    4.075    2.360    2.510    1.790
     2.38    4.075    2.360    2.505    1.785
     2.44    4.075    2.360    2.505    1.790
     2.51    4.075    2.365    2.500    1.790
     2.57    4.080    2.360    2.505    1.790
     2.64    4.075    2.365    2.505    1.790
     2.71    4.075    2.360    2.510    1.790
     2.77    4.080    2.365    2.505    1.790
     2.84    4.075    2.360    2.510    1.795
     2.90    4.080    2.360    2.510    1.790
