Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    Vmoto    error 
     0.00    4.080    4.075    4.615    0.080
     0.07    4.080    4.110    4.265    0.045
     0.13    4.080    4.095    4.230    0.060
     0.20    4.080    4.095    4.225    0.065
     0.26    4.080    4.095    4.225    0.060
     0.33    4.080    4.095    4.225    0.060
     0.40    4.080    4.095    4.210    0.060
     0.46    4.075    4.095    4.215    0.060
     0.53    4.075    4.095    4.230    0.065
     0.59    4.075    4.085    4.235    0.065
     0.66    4.080    4.090    4.245    0.065
     0.73    4.080    4.090    4.250    0.065
     0.79    4.080    4.095    4.235    0.065
     0.86    4.075    4.090    4.235    0.060
     0.92    4.075    4.090    4.225    0.060
     0.99    4.080    4.090    4.220    0.065
     1.06    4.075    4.090    4.225    0.060
     1.12    4.080    4.090    4.225    0.060
     1.19    4.075    4.090    4.235    0.060
     1.25    4.080    4.090    4.235    0.060
     1.32    4.075    4.090    4.245    0.065
     1.39    4.080    4.090    4.245    0.065
     1.45    4.075    4.090    4.245    0.065
     1.52    4.080    4.090    4.250    0.065
     1.58    4.080    4.095    4.235    0.065
     1.65    4.080    4.095    4.225    0.060
     1.72    4.080    4.095    4.225    0.065
     1.78    4.080    4.095    4.225    0.060
     1.85    4.080    4.095    4.230    0.060
     1.91    4.080    4.095    4.225    0.065
     1.98    4.080    4.095    4.240    0.060
     2.05    4.080    4.090    4.240    0.065
     2.11    4.080    4.090    4.245    0.065
     2.18    4.080    4.090    4.245    0.065
     2.24    4.080    4.095    4.240    0.065
     2.31    4.080    4.095    4.230    0.065
     2.38    4.080    4.095    4.225    0.065
     2.44    4.075    4.090    4.225    0.060
     2.51    4.080    4.095    4.225    0.065
     2.57    4.080    4.090    4.230    0.065
     2.64    4.080    4.090    4.230    0.060
     2.71    4.080    4.090    4.225    0.065
     2.77    4.080    4.090    4.240    0.065
     2.84    4.080    4.090    4.245    0.065
     2.90    4.080    4.085    4.240    0.065
     2.97    4.075    4.090    4.230    0.065
     3.04    4.075    4.090    4.225    0.065
     3.10    4.075    4.090    4.220    0.065
     3.17    4.080    4.090    4.220    0.065
     3.23    4.075    4.090    4.225    0.060
     3.30    4.075    4.090    4.225    0.065
     3.37    4.080    4.090    4.230    0.065
     3.43    4.080    4.090    4.235    0.065
     3.50    4.080    4.090    4.245    0.065
     3.56    4.080    4.090    4.255    0.070
     3.63    4.080    4.090    4.240    0.065
     3.70    4.080    4.095    4.230    0.065
     3.76    4.080    4.090    4.235    0.065
     3.83    4.080    4.090    4.230    0.060
