Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 setpoint  shutter       T1 
     0.00    2.535    2.505    1.000   10.000    2.535
     0.10    2.535    2.505    1.000   10.000    2.535
     0.20    2.535    2.505    1.000   10.000    2.535
     0.30    2.535    2.505    1.000   10.000    2.535
     0.40    2.535    2.505    1.000   10.000    2.535
     0.50    2.535    2.505    1.000   10.000    2.535
     0.60    2.540    2.505    1.000   10.000    2.540
     0.70    2.535    2.505    1.000   10.000    2.535
     0.80    2.540    2.505    1.000   10.000    2.540
     0.90    2.540    2.505    1.000   10.000    2.540
     1.00    2.540    2.505    1.000   10.000    2.540
     1.10    2.540    2.505    1.000   10.000    2.540
     1.20    2.540    2.505    1.000   10.000    2.540
     1.30    2.540    2.505    1.000   10.000    2.540
     1.40    2.540    2.505    1.000   10.000    2.540
     1.50    2.540    2.505    1.000   10.000    2.540
     1.60    2.540    2.505    1.000   10.000    2.540
     1.70    2.540    2.505    1.000   10.000    2.540
     1.80    2.540    2.505    1.000   10.000    2.540
     1.90    2.540    2.505    1.000   10.000    2.540
     2.00    2.540    2.505    1.000   10.000    2.540
     2.10    2.540    2.505    1.000   10.000    2.540
     2.20    2.540    2.505    1.000   10.000    2.540
     2.30    2.540    2.505    1.000   10.000    2.540
     2.40    2.540    2.505    1.000   10.000    2.540
     2.50    2.540    2.505    1.000   10.000    2.540
     2.60    2.540    2.505    1.000   10.000    2.540
     2.70    2.540    2.505    1.000   10.000    2.540
     2.80    2.540    2.505    1.000   10.000    2.540
     2.90    2.540    2.505    1.000   10.000    2.540
     3.00    2.540    2.505    1.000   10.000    2.540
     3.10    2.540    2.505    1.000   10.000    2.540
     3.20    2.540    2.505    1.000   10.000    2.540
     3.30    2.540    2.505    1.000   10.000    2.540
     3.40    2.540    2.505    1.000   10.000    2.540
     3.50    2.540    2.505    1.000   10.000    2.540
     3.60    2.540    2.505    1.000   10.000    2.540
     3.70    2.540    2.505    1.000   10.000    2.540
     3.80    2.545    2.505    1.000   10.000    2.545
     3.90    2.545    2.505    1.000   10.000    2.545
     4.00    2.545    2.505    1.000   10.000    2.545
     4.10    2.545    2.505    1.000   10.000    2.545
     4.20    2.545    2.505    1.000   10.000    2.545
     4.30    2.545    2.505    1.000   10.000    2.545
     4.40    2.545    2.505    1.000   10.000    2.545
     4.50    2.545    2.505    1.000   10.000    2.545
     4.60    2.545    2.505    1.000   10.000    2.545
     4.70    2.545    2.505    1.000   10.000    2.545
     4.80    2.545    2.505    1.000   10.000    2.545
     4.90    2.545    2.505    1.000   10.000    2.545
     5.00    2.545    2.505    1.000   10.000    2.545
     5.10    2.545    2.505    1.000   10.000    2.545
     5.20    2.545    2.505    1.000   10.000    2.545
     5.30    2.545    2.505    1.000   10.000    2.545
     5.40    2.545    2.505    1.000   10.000    2.545
     5.50    2.545    2.505    1.000   10.000    2.545
     5.60    2.545    2.505    1.000   10.000    2.545
     5.70    2.545    2.505    1.000   10.000    2.545
     5.80    2.545    2.505    1.000   10.000    2.545
     5.90    2.545    2.505    1.000   10.000    2.545
