Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
     0.00    2.525    2.490    1.000
     0.07    2.525    2.490    1.000
     0.13    2.525    2.490    1.000
     0.20    2.525    2.490    1.000
     0.26    2.525    2.490    1.000
     0.33    2.525    2.490    1.000
     0.40    2.525    2.490    1.000
     0.46    2.525    2.490    1.000
     0.53    2.525    2.490    1.000
     0.59    2.525    2.490    1.000
     0.66    2.525    2.490    1.000
     0.73    2.525    2.490    1.000
     0.79    2.525    2.490    1.000
     0.86    2.525    2.490    1.000
     0.92    2.525    2.490    1.000
     0.99    2.525    2.490    1.000
     1.06    2.525    2.490    1.000
     1.12    2.525    2.490    1.000
     1.19    2.525    2.490    1.000
     1.25    2.525    2.490    1.000
     1.32    2.525    2.490    1.000
     1.39    2.525    2.490    1.000
     1.45    2.525    2.490    1.000
     1.52    2.525    2.490    1.000
     1.58    2.525    2.490    1.000
     1.65    2.525    2.490    1.000
     1.72    2.525    2.490    1.000
     1.78    2.525    2.490    1.000
     1.85    2.525    2.490    1.000
     1.91    2.525    2.490    1.000
     1.98    2.525    2.490    1.000
     2.05    2.525    2.490    1.000
     2.11    2.525    2.490    1.000
     2.18    2.525    2.490    1.000
     2.24    2.525    2.490    1.000
     2.31    2.525    2.490    1.000
     2.38    2.525    2.490    1.000
     2.44    2.525    2.490    1.000
     2.51    2.525    2.490    1.000
     2.57    2.525    2.485    1.000
     2.64    2.525    2.490    1.000
     2.71    2.525    2.490    1.000
     2.77    2.525    2.490    1.000
     2.84    2.525    2.490    1.000
     2.90    2.525    2.485    1.000
     2.97    2.525    2.490    1.000
     3.04    2.525    2.490    1.000
     3.10    2.525    2.490    1.000
     3.17    2.525    2.490    1.000
     3.23    2.525    2.490    1.000
     3.30    2.525    2.490    1.000
     3.37    2.525    2.490    1.000
     3.43    2.525    2.490    1.000
     3.50    2.525    2.485    1.000
     3.56    2.525    2.485    1.000
     3.63    2.525    2.485    1.000
     3.70    2.525    2.490    1.000
     3.76    2.525    2.490    1.000
     3.83    2.525    2.490    1.000
     3.89    2.525    2.490    1.000
     3.96    2.525    2.490    1.000
     4.03    2.525    2.485    1.000
     4.09    2.525    2.490    1.000
     4.16    2.525    2.490    1.000
     4.22    2.525    2.485    1.000
     4.29    2.525    2.490    1.000
     4.36    2.525    2.490    1.000
     4.42    2.525    2.485    1.000
     4.49    2.525    2.490    1.000
     4.55    2.525    2.485    1.000
     4.62    2.525    2.490    1.000
     4.69    2.525    2.485    1.000
     4.75    2.525    2.490    1.000
     4.82    2.525    2.485    1.000
     4.88    2.525    2.490    1.000
     4.95    2.525    2.490    1.000
     5.02    2.525    2.490    1.000
     5.08    2.525    2.490    1.000
     5.15    2.525    2.490    1.000
     5.21    2.525    2.490    1.000
     5.28    2.525    2.485    1.000
     5.35    2.525    2.490    1.000
     5.41    2.525    2.485    1.000
     5.48    2.530    2.485    1.000
     5.54    2.525    2.490    1.000
     5.61    2.530    2.485    1.000
     5.68    2.530    2.490    1.000
     5.74    2.530    2.490    1.000
     5.81    2.530    2.485    1.000
     5.87    2.530    2.490    1.000
     5.94    2.530    2.490    1.000
     6.01    2.530    2.485    1.000
     6.07    2.530    2.485    1.000
     6.14    2.530    2.485    1.000
     6.20    2.530    2.485    1.000
     6.27    2.530    2.485    1.000
     6.34    2.530    2.490    1.000
     6.40    2.530    2.485    1.000
     6.47    2.530    2.485    1.000
     6.53    2.530    2.485    1.000
     6.60    2.530    2.490    1.000
     6.67    2.530    2.490    1.000
     6.73    2.530    2.490    1.000
     6.80    2.530    2.490    1.000
     6.86    2.530    2.490    1.000
     6.93    2.530    2.490    1.000
     7.00    2.530    2.490    1.000
     7.06    2.530    2.485    1.000
     7.13    2.530    2.490    1.000
     7.19    2.530    2.485    1.000
     7.26    2.530    2.485    1.000
     7.33    2.535    2.485    1.000
     7.39    2.535    2.490    1.000
     7.46    2.535    2.485    1.000
     7.52    2.535    2.485    1.000
     7.59    2.535    2.490    1.000
     7.66    2.535    2.490    1.000
     7.72    2.535    2.485    1.000
     7.79    2.535    2.490    1.000
     7.85    2.535    2.490    1.000
     7.92    2.535    2.490    1.000
     7.99    2.535    2.490    1.000
     8.05    2.535    2.485    1.000
     8.12    2.535    2.490    1.000
     8.18    2.535    2.490    1.000
     8.25    2.535    2.490    1.000
     8.32    2.535    2.490    1.000
     8.38    2.535    2.490    1.000
     8.45    2.535    2.485    1.000
     8.51    2.535    2.490    1.000
     8.58    2.535    2.485    1.000
     8.65    2.535    2.485    1.000
     8.71    2.535    2.490    1.000
     8.78    2.535    2.490    1.000
     8.84    2.535    2.490    1.000
     8.91    2.535    2.485    1.000
     8.98    2.535    2.485    1.000
     9.04    2.535    2.485    1.000
     9.11    2.535    2.490    1.000
     9.17    2.540    2.490    1.000
     9.24    2.535    2.485    1.000
     9.31    2.540    2.490    1.000
     9.37    2.540    2.490    1.000
     9.44    2.540    2.485    1.000
     9.50    2.540    2.485    1.000
     9.57    2.540    2.490    1.000
     9.64    2.540    2.485    1.000
     9.70    2.540    2.490    1.000
     9.77    2.540    2.490    1.000
     9.83    2.540    2.485    1.000
     9.90    2.540    2.490    1.000
