Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
     0.00    2.670    0.000    5.000   70.203
     0.10    2.670    0.000    5.000   70.506
     0.20    2.670    0.000    5.000   70.809
     0.30    2.670    0.000    5.000   71.112
     0.40    2.670    0.000    5.000   71.414
     0.50    2.670    0.000    5.000   71.717
     0.60    2.670    0.000    5.000   72.020
     0.70    2.670    0.000    5.000   72.323
     0.80    2.670    0.000    5.000   72.626
     0.90    2.670    0.000    5.000   72.929
     1.00    2.670    0.000    5.000   73.232
     1.10    2.670    0.000    5.000   73.535
     1.20    2.670    0.000    5.000   73.838
     1.30    2.670    0.000    5.000   74.141
     1.40    2.670    0.000    5.000   74.443
     1.50    2.670    0.000    5.000   74.746
     1.60    2.670    0.000    5.000   75.049
     1.70    2.670    0.000    5.000   75.352
     1.80    2.670    0.000    5.000   75.655
     1.90    2.670    0.000    5.000   75.958
     2.00    2.670    0.000    5.000   76.261
     2.10    2.670    0.000    5.000   76.564
     2.20    2.670    0.000    5.000   76.867
     2.30    2.670    0.000    5.000   77.170
     2.40    2.670    0.000    5.000   77.472
     2.50    2.670    0.000    5.000   77.775
     2.60    2.670    0.000    5.000   78.078
     2.70    2.670    0.000    5.000   78.381
     2.80    2.670    0.000    5.000   78.684
     2.90    2.670    0.000    5.000   78.987
     3.00    2.670    0.000    5.000   79.290
     3.10    2.670    0.000    5.000   79.593
     3.20    2.675    0.000    5.000   79.745
     3.30    2.675    0.000    5.000   80.047
     3.40    2.675    0.000    5.000   80.350
     3.50    2.675    0.000    5.000   80.652
     3.60    2.675    0.000    5.000   80.954
     3.70    2.680    0.000    5.000   81.106
     3.80    2.680    0.000    5.000   81.407
     3.90    2.680    0.000    5.000   81.709
     4.00    2.680    0.000    5.000   82.010
     4.10    2.685    0.000    5.000   82.161
     4.20    2.685    0.000    5.000   82.462
     4.30    2.690    0.000    5.000   82.613
     4.40    2.690    0.000    5.000   82.913
     4.50    2.690    0.000    5.000   83.213
     4.60    2.695    0.000    5.000   83.363
     4.70    2.695    0.000    5.000   83.663
     4.80    2.700    0.000    5.000   83.812
     4.90    2.700    0.000    5.000   84.111
     5.00    2.700    0.000    5.000   84.410
     5.10    2.705    0.000    5.000   84.558
     5.20    2.710    0.000    5.000   84.706
     5.30    2.710    0.000    5.000   85.003
     5.40    2.715    0.000    5.000   85.150
     5.50    2.715    0.000    5.000   85.447
     5.60    2.720    0.000    5.000   85.594
     5.70    2.720    0.000    5.000   85.890
     5.80    2.725    0.000    5.000   86.036
     5.90    2.730    0.000    5.000   86.181
     6.00    2.730    0.000    5.000   86.476
     6.10    2.735    0.000    5.000   86.621
     6.20    2.735    0.000    5.000   86.915
     6.30    2.740    0.000    5.000   87.059
     6.40    2.745    0.000    5.000   87.202
     6.50    2.750    0.000    5.000   87.344
     6.60    2.750    0.000    5.000   87.637
     6.70    2.755    0.000    5.000   87.779
     6.80    2.760    0.000    5.000   87.920
     6.90    2.765    0.000    5.000   88.061
     7.00    2.765    0.000    5.000   88.351
     7.10    2.770    0.000    5.000   88.491
     7.20    2.775    0.000    5.000   88.630
     7.30    2.780    0.000    5.000   88.769
     7.40    2.780    0.000    5.000   89.058
     7.50    2.785    0.000    5.000   89.195
     7.60    2.790    0.000    5.000   89.333
     7.70    2.795    0.000    5.000   89.469
     7.80    2.800    0.000    5.000   89.605
     7.90    2.805    0.000    5.000   89.741
     8.00    2.805    0.000    5.000   90.026
     8.10    2.810    0.000    5.000   90.161
     8.20    2.815    0.000    5.000   90.295
     8.30    2.820    0.000    5.000   90.428
     8.40    2.825    0.000    5.000   90.561
     8.50    2.830    0.000    5.000   90.693
     8.60    2.835    0.000    5.000   90.825
     8.70    2.840    0.000    5.000   90.955
     8.80    2.845    0.000    5.000   91.085
     8.90    2.850    0.000    5.000   91.215
     9.00    2.855    0.000    5.000   91.344
     9.10    2.860    0.000    5.000   91.472
     9.20    2.865    0.000    5.000   91.600
     9.30    2.870    0.000    5.000   91.727
     9.40    2.875    0.000    5.000   91.853
     9.50    2.880    0.000    5.000   91.978
     9.60    2.885    0.000    5.000   92.103
     9.70    2.890    0.000    5.000   92.228
     9.80    2.895    0.000    5.000   92.351
     9.90    2.900    0.000    5.000   92.474
    10.00    2.905    0.000    5.000   92.597
    10.10    2.910    0.000    5.000   92.718
    10.20    2.915    0.000    5.000   92.839
    10.30    2.920    0.000    5.000   92.960
    10.40    2.925    0.000    5.000   93.080
    10.50    2.930    0.000    5.000   93.199
    10.60    2.935    0.000    5.000   93.317
    10.70    2.940    0.000    5.000   93.435
    10.80    2.945    0.000    5.000   93.552
    10.90    2.950    0.000    5.000   93.668
    11.00    2.960    0.000    5.000   93.634
    11.10    2.965    0.000    5.000   93.748
    11.20    2.970    0.000    5.000   93.862
    11.30    2.975    0.000    5.000   93.975
    11.40    2.980    0.000    5.000   94.088
    11.50    2.990    0.000    5.000   94.049
    11.60    2.995    0.000    5.000   94.160
    11.70    3.000    0.000    5.000   94.270
    11.80    3.005    0.000    5.000   94.379
    11.90    3.010    0.000    5.000   94.488
    12.00    3.015    0.000    5.000   94.596
    12.10    3.020    0.000    5.000   94.703
    12.20    3.030    0.000    5.000   94.660
    12.30    3.035    0.000    5.000   94.765
    12.40    3.040    0.000    5.000   94.870
    12.50    3.045    0.000    5.000   94.974
    12.60    3.050    0.000    5.000   95.077
    12.70    3.055    0.000    5.000   95.180
    12.80    3.065    0.000    5.000   95.132
    12.90    3.070    0.000    5.000   95.233
    13.00    3.075    0.000    5.000   95.333
    13.10    3.080    0.000    5.000   95.433
    13.20    3.090    0.000    5.000   95.381
    13.30    3.095    0.000    5.000   95.479
    13.40    3.100    0.000    5.000   95.576
    13.50    3.105    0.000    5.000   95.672
    13.60    3.110    0.000    5.000   95.768
    13.70    3.120    0.000    5.000   95.712
    13.80    3.125    0.000    5.000   95.806
