    Time       T1       T2  shutter Setpoint 
     0.00    2.655    2.670    0.000    4.000
     0.07    2.655    2.670    0.000    4.000
     0.13    2.655    2.670    0.000    4.000
     0.20    2.655    2.670    0.000    4.000
     0.26    2.655    2.670    0.000    4.000
     0.33    2.655    2.670    0.000    4.000
     0.40    2.655    2.670    0.000    4.000
     0.46    2.655    2.670    0.000    4.000
     0.53    2.655    2.670    0.000    4.000
     0.59    2.655    2.670    0.000    4.000
     0.66    2.655    2.670    0.000    4.000
     0.73    2.655    2.665    0.000    4.000
     0.79    2.655    2.670    0.000    4.000
     0.86    2.655    2.665    0.000    4.000
     0.92    2.655    2.665    0.000    4.000
     0.99    2.655    2.665    0.000    4.000
     1.06    2.655    2.665    0.000    4.000
     1.12    2.655    2.665    0.000    4.000
     1.19    2.655    2.665    0.000    4.000
     1.25    2.655    2.665    0.000    4.000
     1.32    2.655    2.665    0.000    4.000
     1.39    2.655    2.665    0.000    4.000
     1.45    2.655    2.665    0.000    4.000
     1.52    2.655    2.665    0.000    4.000
     1.58    2.655    2.665    0.000    4.000
     1.65    2.655    2.665    0.000    4.000
     1.72    2.655    2.665    0.000    4.000
     1.78    2.655    2.665    0.000    4.000
     1.85    2.655    2.665    0.000    4.000
     1.91    2.655    2.665    0.000    4.000
     1.98    2.655    2.665    0.000    4.000
     2.05    2.655    2.665    0.000    4.000
     2.11    2.655    2.665    0.000    4.000
     2.18    2.655    2.665    0.000    4.000
     2.24    2.655    2.665    0.000    4.000
     2.31    2.655    2.665    0.000    4.000
     2.38    2.655    2.665    0.000    4.000
     2.44    2.655    2.665    0.000    4.000
     2.51    2.655    2.665    0.000    4.000
     2.57    2.655    2.665    0.000    4.000
     2.64    2.655    2.665    0.000    4.000
     2.71    2.655    2.665    0.000    4.000
     2.77    2.655    2.665    0.000    4.000
     2.84    2.660    2.665    0.000    4.000
     2.90    2.660    2.665    0.000    4.000
     2.97    2.660    2.665    0.000    4.000
     3.04    2.660    2.665    0.000    4.000
     3.10    2.660    2.665    0.000    4.000
     3.17    2.660    2.665    0.000    4.000
     3.23    2.660    2.665    0.000    4.000
     3.30    2.660    2.665    0.000    4.000
     3.37    2.665    2.665    0.000    4.000
     3.43    2.665    2.665    0.000    4.000
     3.50    2.665    2.665    0.000    4.000
     3.56    2.665    2.665    0.000    4.000
     3.63    2.665    2.665    0.000    4.000
     3.70    2.670    2.665    0.000    4.000
     3.76    2.670    2.665    0.000    4.000
     3.83    2.670    2.665    0.000    4.000
     3.89    2.670    2.665    0.000    4.000
     3.96    2.675    2.665    0.000    4.000
     4.03    2.675    2.665    0.000    4.000
     4.09    2.675    2.660    0.000    4.000
     4.16    2.675    2.665    0.000    4.000
     4.22    2.680    2.660    0.000    4.000
     4.29    2.680    2.665    0.000    4.000
     4.36    2.680    2.660    0.000    4.000
     4.42    2.680    2.660    0.000    4.000
     4.49    2.685    2.660    0.000    4.000
     4.55    2.685    2.660    0.000    4.000
     4.62    2.685    2.660    0.000    4.000
     4.69    2.690    2.660    0.000    4.000
     4.75    2.690    2.660    0.000    4.000
     4.82    2.695    2.660    0.000    4.000
     4.88    2.695    2.660    0.000    4.000
     4.95    2.695    2.660    0.000    4.000
     5.02    2.695    2.660    0.000    4.000
     5.08    2.700    2.660    0.000    4.000
     5.15    2.700    2.660    0.000    4.000
     5.21    2.700    2.660    0.000    4.000
     5.28    2.705    2.660    0.000    4.000
     5.35    2.705    2.660    0.000    4.000
     5.41    2.710    2.660    0.000    4.000
     5.48    2.710    2.660    0.000    4.000
     5.54    2.715    2.660    0.000    4.000
     5.61    2.715    2.660    0.000    4.000
     5.68    2.715    2.660    0.000    4.000
     5.74    2.720    2.660    0.000    4.000
     5.81    2.720    2.660    0.000    4.000
     5.87    2.725    2.660    0.000    4.000
     5.94    2.725    2.660    0.000    4.000
     6.01    2.730    2.660    0.000    4.000
     6.07    2.730    2.660    0.000    4.000
     6.14    2.735    2.660    0.000    4.000
     6.20    2.735    2.660    0.000    4.000
     6.27    2.740    2.660    0.000    4.000
     6.34    2.740    2.660    0.000    4.000
     6.40    2.745    2.660    0.000    4.000
     6.47    2.745    2.660    0.000    4.000
     6.53    2.750    2.660    0.000    4.000
     6.60    2.750    2.660    0.000    4.000
     6.67    2.755    2.660    0.000    4.000
     6.73    2.755    2.660    0.000    4.000
     6.80    2.760    2.660    0.000    4.000
     6.86    2.760    2.660    0.000    4.000
     6.93    2.765    2.660    0.000    4.000
     7.00    2.765    2.660    0.000    4.000
     7.06    2.770    2.660    0.000    4.000
     7.13    2.775    2.660    0.000    4.000
     7.19    2.775    2.660    0.000    4.000
     7.26    2.780    2.660    0.000    4.000
     7.33    2.780    2.660    0.000    4.000
     7.39    2.785    2.660    0.000    4.000
     7.46    2.785    2.660    0.000    4.000
     7.52    2.790    2.660    0.000    4.000
     7.59    2.795    2.660    0.000    4.000
     7.66    2.795    2.660    0.000    4.000
     7.72    2.800    2.660    0.000    4.000
     7.79    2.805    2.660    0.000    4.000
     7.85    2.805    2.660    0.000    4.000
     7.92    2.810    2.660    0.000    4.000
     7.99    2.810    2.660    0.000    4.000
     8.05    2.815    2.660    0.000    4.000
     8.12    2.820    2.660    0.000    4.000
     8.18    2.820    2.660    0.000    4.000
     8.25    2.825    2.660    0.000    4.000
     8.32    2.830    2.660    0.000    4.000
     8.38    2.830    2.660    0.000    4.000
     8.45    2.835    2.660    0.000    4.000
     8.51    2.840    2.660    0.000    4.000
     8.58    2.840    2.660    0.000    4.000
     8.65    2.845    2.660    0.000    4.000
     8.71    2.850    2.660    0.000    4.000
     8.78    2.850    2.660    0.000    4.000
     8.84    2.855    2.660    0.000    4.000
     8.91    2.860    2.660    0.000    4.000
     8.98    2.865    2.660    0.000    4.000
     9.04    2.865    2.660    0.000    4.000
     9.11    2.870    2.660    0.000    4.000
     9.17    2.870    2.660    0.000    4.000
     9.24    2.875    2.660    0.000    4.000
     9.31    2.880    2.660    0.000    4.000
     9.37    2.885    2.665    0.000    4.000
     9.44    2.885    2.660    0.000    4.000
     9.50    2.890    2.665    0.000    4.000
     9.57    2.895    2.665    0.000    4.000
     9.64    2.900    2.665    0.000    4.000
     9.70    2.900    2.665    0.000    4.000
     9.77    2.905    2.665    0.000    4.000
     9.83    2.910    2.665    0.000    4.000
     9.90    2.910    2.665    0.000    4.000
     9.97    2.915    2.665    0.000    4.000
    10.03    2.920    2.665    0.000    4.000
    10.10    2.925    2.665    0.000    4.000
    10.16    2.925    2.665    0.000    4.000
    10.23    2.930    2.665    0.000    4.000
    10.30    2.935    2.665    0.000    4.000
    10.36    2.940    2.665    0.000    4.000
    10.43    2.945    2.665    0.000    4.000
    10.49    2.945    2.665    0.000    4.000
    10.56    2.950    2.665    0.000    4.000
    10.63    2.955    2.665    0.000    4.000
    10.69    2.955    2.665    0.000    4.000
    10.76    2.960    2.665    0.000    4.000
    10.82    2.965    2.665    0.000    4.000
    10.89    2.970    2.665    0.000    4.000
    10.96    2.975    2.665    0.000    4.000
    11.02    2.980    2.665    0.000    4.000
    11.09    2.980    2.670    0.000    4.000
    11.15    2.985    2.670    0.000    4.000
    11.22    2.990    2.670    0.000    4.000
    11.29    2.995    2.670    0.000    4.000
    11.35    3.000    2.670    0.000    4.000
    11.42    3.000    2.670    0.000    4.000
    11.48    3.005    2.670    0.000    4.000
    11.55    3.010    2.670    0.000    4.000
    11.62    3.015    2.670    0.000    4.000
    11.68    3.020    2.670    0.000    4.000
    11.75    3.020    2.670    0.000    4.000
    11.81    3.025    2.670    0.000    4.000
    11.88    3.030    2.670    0.000    4.000
    11.95    3.035    2.670    0.000    4.000
    12.01    3.040    2.670    0.000    4.000
    12.08    3.045    2.670    0.000    4.000
    12.14    3.045    2.670    0.000    4.000
    12.21    3.050    2.675    0.000    4.000
    12.28    3.055    2.675    0.000    4.000
    12.34    3.060    2.675    0.000    4.000
    12.41    3.065    2.675    0.000    4.000
    12.47    3.065    2.675    0.000    4.000
    12.54    3.070    2.675    0.000    4.000
    12.61    3.075    2.675    0.000    4.000
    12.67    3.080    2.675    0.000    4.000
    12.74    3.085    2.675    0.000    4.000
    12.80    3.085    2.675    0.000    4.000
    12.87    3.090    2.675    0.000    4.000
    12.94    3.095    2.675    0.000    4.000
    13.00    3.100    2.675    0.000    4.000
    13.07    3.105    2.680    0.000    4.000
    13.13    3.110    2.680    0.000    4.000
    13.20    3.115    2.680    0.000    4.000
    13.27    3.115    2.680    0.000    4.000
    13.33    3.120    2.680    0.000    4.000
    13.40    3.125    2.680    0.000    4.000
    13.46    3.130    2.680    0.000    4.000
    13.53    3.135    2.680    0.000    4.000
    13.60    3.140    2.680    0.000    4.000
    13.66    3.145    2.680    0.000    4.000
    13.73    3.150    2.680    0.000    4.000
    13.79    3.150    2.685    0.000    4.000
    13.86    3.155    2.685    0.000    4.000
    13.93    3.160    2.685    0.000    4.000
    13.99    3.165    2.685    0.000    4.000
    14.06    3.170    2.685    0.000    4.000
    14.12    3.175    2.685    0.000    4.000
    14.19    3.180    2.685    0.000    4.000
    14.26    3.185    2.685    0.000    4.000
    14.32    3.185    2.685    0.000    4.000
    14.39    3.190    2.690    0.000    4.000
    14.45    3.195    2.690    0.000    4.000
    14.52    3.200    2.690    0.000    4.000
    14.59    3.205    2.690    0.000    4.000
    14.65    3.210    2.690    0.000    4.000
    14.72    3.215    2.690    0.000    4.000
    14.78    3.220    2.690    0.000    4.000
    14.85    3.220    2.690    0.000    4.000
    14.92    3.225    2.690    0.000    4.000
    14.98    3.230    2.695    0.000    4.000
    15.05    3.235    2.695    0.000    4.000
    15.11    3.240    2.695    0.000    4.000
    15.18    3.245    2.695    0.000    4.000
    15.25    3.250    2.695    0.000    4.000
    15.31    3.255    2.695    0.000    4.000
    15.38    3.255    2.695    0.000    4.000
    15.44    3.260    2.695    0.000    4.000
    15.51    3.265    2.695    0.000    4.000
    15.58    3.270    2.700    0.000    4.000
    15.64    3.275    2.700    0.000    4.000
    15.71    3.280    2.700    0.000    4.000
    15.77    3.285    2.700    0.000    4.000
    15.84    3.290    2.700    0.000    4.000
    15.91    3.295    2.700    0.000    4.000
    15.97    3.300    2.700    0.000    4.000
    16.04    3.300    2.700    0.000    4.000
