Data series 5

    Time  ref_inp     lev2     lev1      err 
     0.00    3.975    3.995    0.400   -0.270
     0.10    3.975    3.995    0.400   -0.270
     0.20    3.975    3.995    0.400   -0.270
     0.30    3.975    3.995    0.400   -0.270
     0.40    3.975    3.995    0.400   -0.270
     0.50    3.975    3.995    0.400   -0.270
     0.60    3.975    3.995    0.400   -0.270
     0.70    3.975    3.995    0.400   -0.270
     0.80    3.975    3.995    0.400   -0.270
     0.90    3.975    3.995    0.400   -0.270
     1.00    3.975    3.995    0.400   -0.270
     1.10    3.975    3.995    0.400   -0.270
     1.20    3.975    3.995    0.400   -0.270
     1.30    3.975    3.995    0.400   -0.270
     1.40    3.975    3.995    0.400   -0.270
     1.50    3.975    3.995    0.400   -0.270
     1.60    3.975    3.995    0.400   -0.270
     1.70    3.975    3.995    0.400   -0.270
     1.80    3.975    3.995    0.400   -0.270
     1.90    3.975    3.995    0.400   -0.270
     2.00    3.975    3.995    0.400   -0.270
     2.10    3.975    3.995    0.400   -0.270
     2.20    3.975    3.995    0.400   -0.270
     2.30    3.975    3.995    0.400   -0.270
     2.40    3.975    3.995    0.400   -0.270
     2.50    3.975    3.995    0.400   -0.270
     2.60    3.975    3.995    0.400   -0.270
     2.70    3.975    3.995    0.400   -0.270
     2.80    3.975    3.995    0.400   -0.270
     2.90    3.975    3.995    0.400   -0.270
     3.00    3.975    4.000    0.400   -0.270
     3.10    3.975    3.995    0.400   -0.270
     3.20    3.975    3.995    0.400   -0.270
     3.30    3.975    3.995    0.400   -0.270
     3.40    3.975    4.000    0.400   -0.270
     3.50    3.975    4.000    0.400   -0.270
     3.60    3.975    4.000    0.400   -0.270
     3.70    3.975    4.000    0.400   -0.270
     3.80    3.975    4.000    0.400   -0.270
     3.90    3.975    4.000    0.400   -0.270
     4.00    3.975    4.000    0.400   -0.270
     4.10    3.975    4.000    0.400   -0.270
     4.20    3.975    4.000    0.400   -0.270
     4.30    3.975    4.000    0.400   -0.270
     4.40    3.975    4.000    0.400   -0.270
     4.50    3.975    4.000    0.400   -0.270
     4.60    3.975    4.000    0.400   -0.270
     4.70    3.975    4.000    0.400   -0.270
     4.80    3.975    4.000    0.400   -0.270
     4.90    3.975    4.000    0.400   -0.270
     5.00    3.975    4.000    0.400   -0.270
     5.10    3.975    4.000    0.400   -0.270
     5.20    3.975    3.995    0.400   -0.270
     5.30    3.975    3.995    0.400   -0.270
     5.40    3.975    3.995    0.400   -0.270
     5.50    3.975    3.995    0.400   -0.270
     5.60    3.975    3.995    0.400   -0.270
     5.70    3.975    3.995    0.400   -0.270
     5.80    3.975    3.995    0.400   -0.270
     5.90    3.975    3.995    0.400   -0.270
     6.00    3.975    3.995    0.400   -0.270
     6.10    3.975    3.995    0.400   -0.270
     6.20    3.975    3.995    0.400   -0.270
     6.30    3.975    3.995    0.400   -0.270
     6.40    3.975    3.995    0.400   -0.270
     6.50    3.975    3.995    0.400   -0.270
     6.60    3.975    3.995    0.400   -0.270
     6.70    3.975    3.995    0.400   -0.270
     6.80    3.975    3.995    0.400   -0.270
     6.90    3.975    3.995    0.400   -0.270
     7.00    3.975    3.995    0.400   -0.270
     7.10    3.975    3.995    0.400   -0.270
     7.20    3.975    3.995    0.400   -0.270
     7.30    3.975    3.995    0.400   -0.270
     7.40    3.975    3.995    0.400   -0.270
     7.50    3.975    3.995    0.400   -0.270
     7.60    3.975    3.995    0.400   -0.270
     7.70    3.975    4.000    0.400   -0.270
     7.80    3.975    4.000    0.400   -0.270
     7.90    4.910    3.990    0.425   -0.270
     8.00    4.965    3.995    0.470   -0.265
     8.10    4.965    3.995    0.505   -0.265
     8.20    4.965    3.995    0.525   -0.260
     8.30    4.965    3.995    0.540   -0.255
     8.40    4.965    4.000    0.550   -0.250
     8.50    4.965    4.000    0.555   -0.250
     8.60    4.965    4.005    0.560   -0.245
     8.70    4.965    4.005    0.565   -0.245
     8.80    4.965    4.005    0.565   -0.245
     8.90    4.965    4.005    0.570   -0.245
     9.00    4.965    4.005    0.570   -0.240
     9.10    4.965    4.005    0.570   -0.240
     9.20    4.965    4.010    0.570   -0.240
     9.30    4.965    4.010    0.570   -0.240
     9.40    4.965    4.010    0.570   -0.240
     9.50    4.965    4.010    0.570   -0.240
     9.60    4.965    4.015    0.570   -0.240
     9.70    4.965    4.015    0.570   -0.240
     9.80    4.965    4.015    0.570   -0.240
     9.90    4.965    4.020    0.570   -0.240
    10.00    4.965    4.020    0.570   -0.240
    10.10    4.965    4.025    0.570   -0.240
    10.20    4.965    4.025    0.570   -0.240
    10.30    4.965    4.025    0.570   -0.240
    10.40    4.965    4.030    0.570   -0.240
    10.50    4.965    4.030    0.575   -0.240
    10.60    4.965    4.035    0.570   -0.240
