
Data series 4

    Time  ref_inp     lev2     lev1      err 
     0.00    3.970    1.280    0.380   -0.275
     0.10    3.970    1.275    0.380   -0.275
     0.20    3.970    1.280    0.380   -0.275
     0.30    3.970    1.275    0.380   -0.275
     0.40    3.970    1.275    0.380   -0.275
     0.50    3.970    1.275    0.380   -0.275
     0.60    3.970    1.275    0.380   -0.275
     0.70    3.970    1.275    0.380   -0.275
     0.80    3.970    1.275    0.380   -0.275
     0.90    3.970    1.275    0.380   -0.275
     1.00    3.970    1.275    0.380   -0.275
     1.10    3.970    1.275    0.380   -0.275
     1.20    3.970    1.275    0.380   -0.275
     1.30    3.970    1.275    0.380   -0.275
     1.40    3.970    1.275    0.380   -0.275
     1.50    3.970    1.275    0.380   -0.275
     1.60    3.970    1.275    0.380   -0.275
     1.70    3.970    1.275    0.380   -0.275
     1.80    3.970    1.275    0.380   -0.275
     1.90    3.970    1.275    0.380   -0.275
     2.00    3.970    1.275    0.380   -0.275
     2.10    3.970    1.275    0.380   -0.275
     2.20    3.970    1.275    0.380   -0.275
     2.30    3.970    1.275    0.380   -0.275
     2.40    3.970    1.275    0.380   -0.275
     2.50    3.970    1.280    0.380   -0.275
     2.60    3.970    1.280    0.380   -0.275
     2.70    3.970    1.280    0.380   -0.275
     2.80    3.970    1.275    0.380   -0.275
     2.90    3.970    1.275    0.380   -0.275
     3.00    3.970    1.275    0.380   -0.275
     3.10    3.970    1.275    0.380   -0.275
     3.20    3.970    1.275    0.380   -0.280
     3.30    3.970    1.280    0.380   -0.275
     3.40    3.970    1.280    0.380   -0.275
     3.50    3.970    1.280    0.380   -0.275
     3.60    3.970    1.280    0.380   -0.275
     3.70    3.970    1.280    0.380   -0.275
     3.80    3.970    1.280    0.380   -0.275
     3.90    3.970    1.275    0.380   -0.275
     4.00    3.970    1.275    0.380   -0.275
     4.10    3.970    1.275    0.380   -0.275
     4.20    3.970    1.275    0.380   -0.275
     4.30    3.970    1.275    0.380   -0.275
     4.40    3.970    1.275    0.380   -0.275
     4.50    3.970    1.275    0.380   -0.275
     4.60    3.970    1.275    0.380   -0.275
     4.70    3.970    1.275    0.380   -0.275
     4.80    3.970    1.275    0.380   -0.275
     4.90    3.970    1.275    0.380   -0.275
     5.00    3.970    1.275    0.380   -0.275
     5.10    3.970    1.280    0.380   -0.275
     5.20    3.970    1.280    0.380   -0.275
     5.30    3.970    1.280    0.380   -0.275
     5.40    3.970    1.280    0.380   -0.275
     5.50    3.970    1.280    0.380   -0.275
     5.60    3.970    1.280    0.380   -0.275
     5.70    3.970    1.280    0.380   -0.275
     5.80    3.970    1.280    0.380   -0.275
     5.90    3.970    1.280    0.380   -0.275
     6.00    3.970    1.280    0.380   -0.275
     6.10    4.665    1.280    0.395   -0.275
     6.20    4.965    1.280    0.445   -0.275
     6.30    4.965    1.280    0.480   -0.270
     6.40    4.965    1.280    0.500   -0.265
     6.50    4.960    1.280    0.515   -0.265
     6.60    4.965    1.280    0.530   -0.260
     6.70    4.965    1.280    0.535   -0.255
     6.80    4.960    1.280    0.540   -0.255
     6.90    4.965    1.280    0.545   -0.250
     7.00    4.965    1.280    0.545   -0.250
     7.10    4.960    1.280    0.550   -0.250
     7.20    4.965    1.280    0.550   -0.245
     7.30    4.965    1.280    0.550   -0.245
     7.40    4.965    1.280    0.550   -0.245
     7.50    4.965    1.280    0.550   -0.245
     7.60    4.965    1.280    0.550   -0.245
     7.70    4.965    1.280    0.550   -0.245
     7.80    4.965    1.280    0.550   -0.245
     7.90    4.965    1.280    0.555   -0.245
     8.00    4.965    1.280    0.555   -0.245
     8.10    4.965    1.280    0.555   -0.245
     8.20    4.965    1.280    0.555   -0.245
     8.30    4.965    1.285    0.555   -0.245
     8.40    4.965    1.285    0.555   -0.245
     8.50    4.965    1.285    0.555   -0.245
     8.60    4.965    1.285    0.555   -0.245
     8.70    4.965    1.285    0.555   -0.245
