Data export from TecQuipment CE2000

Data series 1

    Time   ref_inp     lev2     lev1      err 
     0.00    4.065    3.015    0.410   -0.270
     0.10    4.065    3.015    0.410   -0.270
     0.20    4.070    3.015    0.410   -0.270
     0.30    4.065    3.015    0.410   -0.270
     0.40    4.070    3.020    0.410   -0.270
     0.50    4.065    3.020    0.410   -0.270
     0.60    4.065    3.020    0.410   -0.270
     0.70    4.065    3.020    0.410   -0.270
     0.80    4.065    3.020    0.410   -0.270
     0.90    4.065    3.020    0.410   -0.270
     1.00    4.065    3.020    0.410   -0.270
     1.10    4.070    3.020    0.410   -0.270
     1.20    4.070    3.020    0.410   -0.270
     1.30    4.065    3.020    0.410   -0.270
     1.40    4.065    3.015    0.410   -0.270
     1.50    4.065    3.020    0.410   -0.270
     1.60    4.070    3.015    0.410   -0.270
     1.70    4.070    3.015    0.410   -0.270
     1.80    4.065    3.020    0.410   -0.270
     1.90    4.065    3.020    0.410   -0.270
     2.00    4.065    3.020    0.410   -0.270
     2.10    4.070    3.020    0.410   -0.270
     2.20    4.070    3.020    0.410   -0.270
     2.30    4.065    3.015    0.410   -0.270
     2.40    4.065    3.015    0.410   -0.270
     2.50    4.070    3.015    0.410   -0.270
     2.60    4.070    3.015    0.410   -0.270
     2.70    4.070    3.020    0.410   -0.270
     2.80    4.070    3.020    0.410   -0.270
     2.90    4.070    3.020    0.410   -0.270
     3.00    4.070    3.020    0.410   -0.270
     3.10    4.070    3.020    0.410   -0.270
     3.20    4.070    3.020    0.410   -0.270
     3.30    4.065    3.020    0.410   -0.270
     3.40    4.065    3.020    0.410   -0.270
     3.50    4.065    3.020    0.410   -0.270
     3.60    4.065    3.020    0.410   -0.270
     3.70    4.065    3.015    0.410   -0.270
     3.80    4.065    3.015    0.410   -0.270
     3.90    4.065    3.015    0.410   -0.270
     4.00    4.065    3.015    0.410   -0.270
     4.10    4.070    3.020    0.410   -0.270
     4.20    4.070    3.020    0.410   -0.270
     4.30    4.070    3.020    0.410   -0.270
     4.40    4.070    3.020    0.410   -0.270
     4.50    4.065    3.020    0.410   -0.270
     4.60    4.070    3.015    0.410   -0.270
     4.70    4.070    3.015    0.410   -0.270
     4.80    4.065    3.015    0.410   -0.270
