Data series 2

    Time  ref_inp     lev2     lev1      err 
     0.00    4.070    3.470    0.415   -0.270
     0.10    4.070    3.465    0.415   -0.270
     0.20    4.070    3.465    0.415   -0.270
     0.30    4.070    3.465    0.415   -0.270
     0.40    4.065    3.465    0.415   -0.270
     0.50    4.070    3.465    0.415   -0.270
     0.60    4.070    3.465    0.415   -0.270
     0.70    4.070    3.465    0.415   -0.270
     0.80    4.070    3.465    0.415   -0.270
     0.90    4.070    3.465    0.415   -0.270
     1.00    4.070    3.465    0.415   -0.270
     1.10    4.070    3.465    0.415   -0.270
     1.20    4.070    3.465    0.415   -0.270
     1.30    4.070    3.470    0.415   -0.270
     1.40    4.070    3.470    0.415   -0.270
     1.50    4.070    3.470    0.415   -0.270
     1.60    4.065    3.470    0.415   -0.270
     1.70    4.070    3.470    0.410   -0.270
     1.80    4.070    3.470    0.415   -0.270
     1.90    4.070    3.465    0.415   -0.270
     2.00    4.070    3.465    0.415   -0.270
     2.10    4.070    3.465    0.415   -0.270
     2.20    4.070    3.465    0.415   -0.270
     2.30    4.070    3.465    0.415   -0.270
     2.40    4.070    3.465    0.415   -0.270
     2.50    4.070    3.465    0.415   -0.270
     2.60    4.070    3.465    0.415   -0.270
     2.70    4.070    3.465    0.415   -0.270
     2.80    4.070    3.465    0.415   -0.270
     2.90    4.070    3.465    0.415   -0.270
     3.00    4.070    3.465    0.415   -0.270
     3.10    4.065    3.465    0.415   -0.270
     3.20    4.070    3.465    0.415   -0.270
     3.30    4.070    3.465    0.415   -0.270
     3.40    4.070    3.465    0.415   -0.270
     3.50    4.070    3.465    0.415   -0.270
     3.60    4.070    3.465    0.415   -0.270
     3.70    4.070    3.465    0.415   -0.270
     3.80    4.070    3.465    0.415   -0.270
     3.90    5.000    3.460    0.440   -0.270
     4.00    5.060    3.460    0.485   -0.265
     4.10    5.060    3.465    0.515   -0.260
     4.20    5.060    3.465    0.540   -0.255
     4.30    5.060    3.465    0.555   -0.255
     4.40    5.060    3.465    0.565   -0.250
     4.50    5.060    3.465    0.570   -0.245
     4.60    5.060    3.465    0.575   -0.245
     4.70    5.060    3.470    0.580   -0.245
     4.80    5.060    3.470    0.580   -0.240
     4.90    5.060    3.470    0.580   -0.240
     5.00    5.060    3.475    0.585   -0.240
     5.10    5.060    3.475    0.585   -0.235
     5.20    5.060    3.480    0.585   -0.235
     5.30    5.060    3.480    0.585   -0.235
     5.40    5.060    3.485    0.585   -0.235
     5.50    5.060    3.485    0.585   -0.235
     5.60    5.060    3.485    0.585   -0.235
     5.70    5.060    3.485    0.585   -0.235
     5.80    5.060    3.485    0.585   -0.235
     5.90    5.060    3.485    0.585   -0.235
     6.00    5.060    3.485    0.585   -0.235
     6.10    5.060    3.485    0.585   -0.235
     6.20    5.060    3.490    0.585   -0.235
     6.30    5.060    3.490    0.585   -0.235
     6.40    5.060    3.495    0.585   -0.235
     6.50    5.060    3.495    0.585   -0.235
     6.60    5.060    3.500    0.585   -0.235
     6.70    5.060    3.505    0.585   -0.235
     6.80    5.060    3.510    0.585   -0.235
     6.90    5.060    3.510    0.585   -0.235
     7.00    5.060    3.515    0.585   -0.235
     7.10    5.060    3.515    0.585   -0.235
     7.20    5.060    3.520    0.585   -0.235
     7.30    5.060    3.525    0.585   -0.235
     7.40    5.060    3.525    0.585   -0.235
     7.50    5.060    3.530    0.585   -0.235
     7.60    5.060    3.535    0.585   -0.235
     7.70    5.060    3.535    0.585   -0.235
     7.80    5.060    3.545    0.585   -0.235
     7.90    5.060    3.545    0.585   -0.235
     8.00    5.060    3.550    0.585   -0.235
     8.10    5.060    3.555    0.585   -0.235
     8.20    5.060    3.560    0.585   -0.235
     8.30    5.060    3.560    0.585   -0.235
     8.40    5.060    3.565    0.585   -0.235
     8.50    5.060    3.570    0.585   -0.235
     8.60    5.060    3.570    0.585   -0.235
     8.70    5.060    3.575    0.585   -0.235
     8.80    5.060    3.580    0.585   -0.235
     8.90    5.060    3.585    0.585   -0.235
     9.00    5.060    3.585    0.585   -0.235
     9.10    5.060    3.590    0.585   -0.235
     9.20    5.060    3.600    0.585   -0.235
     9.30    5.060    3.600    0.585   -0.235
     9.40    5.060    3.605    0.585   -0.235
     9.50    5.060    3.605    0.585   -0.235
     9.60    5.060    3.610    0.585   -0.235
     9.70    5.060    3.615    0.585   -0.235
     9.80    5.060    3.615    0.585   -0.235
     9.90    5.060    3.620    0.585   -0.235
    10.00    5.060    3.625    0.585   -0.235
    10.10    5.060    3.630    0.585   -0.235
    10.20    5.060    3.635    0.585   -0.235
    10.30    5.060    3.640    0.585   -0.235
    10.40    5.060    3.645    0.585   -0.235
    10.50    5.060    3.650    0.585   -0.235
    10.60    5.060    3.655    0.585   -0.235
    10.70    5.060    3.660    0.585   -0.235
    10.80    5.060    3.665    0.585   -0.235
    10.90    5.060    3.675    0.585   -0.235
    11.00    5.060    3.680    0.585   -0.235
    11.10    5.060    3.680    0.585   -0.235
    11.20    5.060    3.685    0.585   -0.235
    11.30    5.060    3.690    0.585   -0.235
    11.40    5.060    3.695    0.585   -0.235
    11.50    5.060    3.700    0.585   -0.235
    11.60    5.060    3.705    0.585   -0.235
    11.70    5.060    3.710    0.585   -0.235
    11.80    5.060    3.710    0.585   -0.235
    11.90    5.060    3.715    0.590   -0.235
    12.00    5.060    3.720    0.590   -0.235
    12.10    5.060    3.725    0.590   -0.235
    12.20    5.060    3.730    0.585   -0.235
    12.30    5.060    3.740    0.590   -0.235
    12.40    5.060    3.745    0.590   -0.235
    12.50    5.060    3.750    0.590   -0.235
    12.60    5.060    3.755    0.585   -0.235
    12.70    5.060    3.760    0.590   -0.235
    12.80    5.060    3.765    0.590   -0.235
    12.90    5.060    3.770    0.590   -0.235
    13.00    5.060    3.775    0.590   -0.235
    13.10    5.060    3.780    0.590   -0.235
    13.20    5.060    3.785    0.590   -0.235
    13.30    5.060    3.790    0.590   -0.235
    13.40    5.060    3.795    0.590   -0.235
    13.50    5.060    3.800    0.585   -0.235
    13.60    5.060    3.800    0.590   -0.235
    13.70    5.060    3.805    0.590   -0.235
    13.80    5.060    3.810    0.590   -0.235
    13.90    5.060    3.810    0.590   -0.235
    14.00    5.060    3.820    0.590   -0.235
    14.10    5.060    3.825    0.590   -0.235
    14.20    5.060    3.835    0.590   -0.235
    14.30    5.060    3.840    0.590   -0.235
    14.40    5.060    3.845    0.590   -0.235
    14.50    5.060    3.850    0.590   -0.235
    14.60    5.060    3.855    0.590   -0.235
    14.70    5.060    3.860    0.590   -0.235
    14.80    5.060    3.865    0.590   -0.235
