
    Time  ref_inp     lev2     lev1      err 
     0.00    4.070    4.090    0.415   -0.270
     0.10    4.070    4.090    0.420   -0.270
     0.20    4.070    4.090    0.415   -0.270
     0.30    4.070    4.090    0.415   -0.270
     0.40    4.070    4.090    0.415   -0.270
     0.50    4.070    4.090    0.415   -0.270
     0.60    4.070    4.090    0.415   -0.270
     0.70    4.070    4.090    0.415   -0.270
     0.80    4.070    4.090    0.415   -0.270
     0.90    4.070    4.090    0.420   -0.270
     1.00    4.070    4.090    0.415   -0.270
     1.10    4.070    4.090    0.415   -0.270
     1.20    4.070    4.090    0.415   -0.270
     1.30    4.070    4.090    0.415   -0.270
     1.40    4.070    4.090    0.415   -0.270
     1.50    4.070    4.090    0.415   -0.270
     1.60    4.070    4.090    0.415   -0.270
     1.70    4.070    4.090    0.415   -0.270
     1.80    4.070    4.090    0.415   -0.270
     1.90    4.070    4.090    0.415   -0.270
     2.00    4.070    4.090    0.415   -0.270
     2.10    4.070    4.090    0.415   -0.270
     2.20    4.070    4.090    0.415   -0.270
     2.30    4.070    4.090    0.415   -0.270
     2.40    4.070    4.085    0.420   -0.270
     2.50    4.070    4.085    0.415   -0.270
     2.60    4.070    4.090    0.415   -0.270
     2.70    4.070    4.090    0.420   -0.270
     2.80    4.070    4.090    0.415   -0.270
     2.90    4.070    4.090    0.415   -0.270
     3.00    4.070    4.090    0.415   -0.270
     3.10    4.070    4.090    0.415   -0.270
     3.20    4.170    4.090    0.420   -0.270
     3.30    4.935    4.090    0.445   -0.265
     3.40    5.060    4.090    0.490   -0.265
     3.50    5.060    4.090    0.520   -0.260
     3.60    5.060    4.090    0.545   -0.255
     3.70    5.060    4.090    0.555   -0.255
     3.80    5.060    4.090    0.565   -0.250
     3.90    5.060    4.090    0.575   -0.245
     4.00    5.060    4.090    0.580   -0.245
     4.10    5.060    4.090    0.580   -0.240
     4.20    5.060    4.090    0.585   -0.240
     4.30    5.060    4.095    0.585   -0.240
     4.40    5.060    4.095    0.590   -0.240
     4.50    5.060    4.095    0.590   -0.240
     4.60    5.060    4.095    0.590   -0.235
     4.70    5.060    4.095    0.590   -0.235
     4.80    5.060    4.095    0.590   -0.235
     4.90    5.060    4.095    0.590   -0.235
     5.00    5.060    4.095    0.590   -0.235
     5.10    5.060    4.095    0.590   -0.235
     5.20    5.060    4.095    0.590   -0.235
     5.30    5.060    4.100    0.590   -0.235
     5.40    5.060    4.100    0.590   -0.235
     5.50    5.060    4.100    0.590   -0.235
     5.60    5.060    4.100    0.590   -0.235
     5.70    5.060    4.105    0.590   -0.235
     5.80    5.060    4.105    0.590   -0.235
     5.90    5.060    4.110    0.590   -0.235
     6.00    5.060    4.115    0.590   -0.235
     6.10    5.060    4.115    0.590   -0.235
     6.20    5.060    4.115    0.590   -0.235
     6.30    5.060    4.115    0.590   -0.235
     6.40    5.060    4.120    0.590   -0.235
     6.50    5.060    4.120    0.590   -0.235
     6.60    5.060    4.120    0.590   -0.235
     6.70    5.060    4.125    0.590   -0.235
     6.80    5.060    4.130    0.590   -0.235
     6.90    5.060    4.135    0.590   -0.235
     7.00    5.060    4.135    0.590   -0.235
     7.10    5.060    4.140    0.590   -0.235
     7.20    5.060    4.140    0.590   -0.235
     7.30    5.060    4.140    0.590   -0.235
     7.40    5.060    4.140    0.590   -0.235
     7.50    5.060    4.145    0.590   -0.235
     7.60    5.060    4.150    0.590   -0.235
     7.70    5.060    4.150    0.590   -0.235
     7.80    5.060    4.150    0.590   -0.235
     7.90    5.060    4.155    0.590   -0.235
     8.00    5.060    4.155    0.590   -0.235
     8.10    5.060    4.155    0.590   -0.235
     8.20    5.060    4.160    0.590   -0.235
